GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDMUR,G18USSRCOR,G18USSLLIO,G18USSGRUS,G18USSOWRI,G18GOVDLAM,G18GOVRSTE,G18GOVLHAN,G18GOVOGRI,G18GOVOGRE,G18GOVOWRI,G18ATGDTON,G18ATGRHAT,G18ATGGGOS,G18SOSDMER,G18SOSRCHA,G18SOSLGWY,G18SOSGDER,G18TREDWOO,G18TRERGRA,G18TRELBRO,G18TREOWRI,G18COMDLEM,G18COMRMIL,G18COMLPAS,G18COMGHEF
0901111-039,09,011,11-039,667.5,383.98,10.06,5.04,0,548.88,457.53,10.05,61.25,2.01,0,567.92,479.54,11.09,627.18,405.16,15.12,10.06,634.18,393.16,14.14,0,627.2,403.15,15.07,4.08
0901111-040,09,011,11-040,2002.35,1068.94,31.71,11.63,0,1680.14,1301.14,18.59,167.11,9.08,0,1666.92,1340.15,51.6,1857.07,1130.24,50.13,35.18,1861.78,1138.37,47.81,0,1819.31,1153.37,40.26,26.97
0901111-041,09,011,11-041,1119.52,376.6,15.89,14.02,0,1003.64,470.05,13.08,69.15,1.87,0,976.54,492.47,35.51,1046.63,405.57,25.23,26.17,1040.08,408.37,40.18,0,1029.8,408.37,28.03,21.49
0901111-042,09,011,11-042,681.14,343.46,15.4,21.35,0,592.22,402.81,14.33,56.74,3.05,0,591.54,434.38,23.89,633.3,366.19,20.63,24.66,646.14,375.26,23.01,0,626.88,382.26,20.7,19.54
0901111-043,09,011,11-043,2435,1732,16,15,0,1961,2054,9,220,4,1,2052,2057,46,2232,1859,29,31,2175,1891,33,0,2144,1900,25,37
0901111-044,09,011,11-044,1094.21,1065.11,21.91,13.59,0,816.68,1252.44,19.65,144.6,3.12,0,838.06,1312.19,29.17,1003.94,1101.64,34.52,19.82,964.81,1131.7,42.8,0,922.02,1180.46,39.07,23.01
0901111-045,09,011,11-045,1043,980,15,10,0,800,1133,11,117,1,0,845,1166,13,929,1053,18,15,909,1063,24,0,913,1074,19,7
0901111-046,09,011,11-046,610.89,631.61,18.27,12.14,0,436.52,776.19,11.14,68.22,3.02,0,450.57,791.83,23.26,571.48,640.67,34.3,21.23,541.86,671.18,51.38,0,540.69,676.14,26.3,17.21
0901111-047,09,011,11-047,1205.53,466.13,6.92,6.92,0,961.6,537.66,5.97,189.33,0,0,1041.39,595.79,20.73,1115.65,519.48,10.9,13.84,1096.74,536.42,10.89,0,1075.06,539.44,11.83,16.76
0901111-048,09,011,11-048,2256.82,1281.63,26.04,26.04,1,1754.44,1627.03,17.03,236.07,3,0,1793.9,1678.36,59.12,1994.31,1461.93,25.06,44.08,1988.21,1443.02,49.06,0,1973.09,1413.04,39.07,26.09
0901111-049,09,011,11-049,609.8,387.75,4.53,4.27,0,481.66,456.79,6.19,78.14,0.04,0,472.09,478.45,9.73,560.29,418.45,8.5,8.54,540.21,436.91,7.79,0,532.32,443.19,4.69,6.77
0901111-050,09,011,11-050,1175.86,538.22,12.43,6.69,0,920.62,651.98,6.69,172.08,0.96,0,206.49,727.51,16.25,1050.63,622.35,13.38,13.38,1040.11,619.48,19.12,0,1021.95,629.04,14.34,16.25
0901111-051,09,011,11-051,733.71,442.86,5.25,3.12,0,573.33,554.63,3.21,62.39,0,0,573.98,580.14,12.36,648.88,490.83,14.38,10.31,646.18,494.51,12.38,0,625.15,509.47,7.31,9.22
0901111-052,09,011,11-052,499,666,16,9,0,377,775,16,49,0,0,364,810,18,460,676,24,18,445,695,28,0,448,680,27,13
0901111-053,09,011,11-053,1219,821,17,28,1,995,992,15,109,3,0,976,1035,44,1090,894,27,39,1076,923,35,0,1068,908,37,31
0901111-054,09,011,11-054,1305.64,835.47,12.01,30.02,0,1094.52,996.58,13.01,102.05,2,0,1069.52,1055.58,40.02,1197.58,899.51,26.01,32.02,1180.58,919.51,39.02,0,1146.56,925.51,29.01,39.02
0901111-055,09,011,11-055,1439.97,1044.28,20.83,34.71,0,1160.31,1292.2,16.86,108.1,4.96,0,1161.3,1308.07,48.59,1297.16,1135.51,24.79,48.59,1290.22,1144.44,38.68,0,1259.48,1146.42,32.73,53.55
0901111-056,09,011,11-056,1455.39,1005.26,13.16,10.27,2,1158.18,1212.22,11.13,147.85,0.04,0,1151.18,1272.34,32.38,1296.26,1083.98,25.2,37.38,1238.2,1155.05,31.31,0,1240.96,1124.07,31.26,31.42
0901111-057,09,011,11-057,1215,1131,20,15,1,927,1366,17,120,0,1,922,1405,35,1075,1230,29,24,1076,1228,33,1,1038,1250,27,21
0901313-001,09,013,13-001,796.04,784.19,16.79,12.84,0.99,629.13,880.98,5.93,115.55,0.99,0,677.52,880.98,31.6,782.21,781.23,13.83,15.8,735.8,817.77,25.68,0,745.67,788.14,21.73,18.77
0901313-002,09,013,13-002,1363,1322,14,18,0,1108,1395,6,239,2,0,1170,1461,35,1280,1337,16,36,1258,1367,28,0,1267,1346,25,27
0901313-003,09,013,13-003,1551.09,1296.91,18.87,15.89,0,1266.1,1436.93,15.89,188.69,1.99,0,1290.94,1509.41,44.68,1478.59,1309.85,16.89,31.78,1390.23,1391.24,31.79,0,1423.98,1351.53,27.82,22.84
0901313-004,09,013,13-004,1660.58,1426.76,35.35,29.24,0,1364.98,1574.11,22.29,238.88,2.98,0,1423.86,1642.51,45.58,1547.18,1494.5,39.51,39.66,1502.17,1519.72,59.43,0,1509.17,1485.37,57.49,33.51
0901313-005,09,013,13-005,1563.61,1467.7,26.98,20.98,0,1251.89,1610.57,11.99,238.79,5,0,1315.83,1678.51,38.97,1496.67,1494.67,23.98,33.97,1417.74,1547.62,43.96,0,1464.7,1483.68,37.97,29.97
0901313-006,09,013,13-006,2913,2665,43,27,1,2169,3192,34,321,2,0,2352,3170,66,2618,2856,54,49,2497,2969,76,0,2539,2898,66,40
0901313-007,09,013,13-007,834.56,873.27,16.04,10.02,0,631.33,1011.34,8.03,94.2,5.01,0,681.36,1009.46,16.04,750.5,912.3,15.04,21.03,731.5,930.29,28.05,0,737.48,929.29,16.04,9.04
0901313-008,09,013,13-008,2559.76,2307.95,29.99,25.55,0.01,1983.85,2634.84,14.42,348.3,4.07,0,2143.73,2667.81,52.1,2377.38,2393.54,36.79,50.8,2274.26,2527.33,43.29,0,2343.53,2421.77,39.89,39.77
0901313-009,09,013,13-009,3596.97,675.76,51.14,29.04,2,3317.86,864.17,14.07,164.91,6,0,3321.84,887.64,68.35,3358.81,810.67,44.18,64.12,3344.49,848.98,59.18,0,3358.43,773.04,42.17,73.1
0901313-010,09,013,13-010,998.18,299.42,8.22,11.09,0,920.71,331.14,10.08,63.07,1.01,0,914.7,366.57,17.42,967.55,300.64,10.24,20.23,943.27,329.97,10.27,0,952.24,310.85,10.23,14.24
0901313-011,09,013,13-011,1437.68,399.12,18.32,7.72,0,1306.75,462.24,7.11,96.74,1.23,0,1306.41,502.03,36.68,1388.5,413.95,20.34,19.33,1362.6,442.68,23.48,0,1359.56,436.2,19.53,19.01
0901313-012,09,013,13-012,919.02,357.85,11.66,8.76,0,829.49,403.57,8.71,68.21,0.02,0,834.64,440.19,17.44,895.42,362.11,15.49,18.35,870.37,388.93,16.58,0,870.42,378.23,17.51,14.5
0901313-013,09,013,13-013,1871,2412,39,19,0,1416,2746,22,207,2,0,1442,2800,33,1729,2518,33,24,1591,2628,34,0,1597,2581,30,24
0901313-014,09,013,13-014,630.83,717.4,18.37,10.61,0,486.61,804.68,13.52,99.54,0.1,0,500.88,819.49,23.22,589.99,722.8,11.76,18.13,567.83,722.69,28.14,0,578.54,723.05,20.43,12.44
0901313-015,09,013,13-015,1058.55,893.09,24.64,13.4,0,819.69,1058.87,17.5,132.52,3.9,0,867.43,1053.08,31.8,994.38,922.69,22.24,14.88,929.53,955.81,41.88,0,946.8,932.46,32.58,11.57
0901313-016,09,013,13-016,685.62,883.51,17.99,16.99,0,540.7,969.46,20.99,98.94,0,0,545.69,1012.43,23.99,669.63,886.5,15.99,13.99,637.64,891.5,25.99,0,614.66,908.49,18.99,9.99
0901313-017,09,013,13-017,1412.02,1220.69,21.81,13.24,0.94,1126.86,1363.86,12.33,179.02,1.9,0,1185.52,1428.24,36.94,1285.35,1291.54,33.13,21.82,1246.35,1330.61,37.82,0,1300.21,1268.1,27.48,29.32
0901313-018,09,013,13-018,2109.25,1844.88,34.7,14.46,0.04,1702.81,2074.49,20.39,248.95,4.06,0,1769.83,2157.66,51.23,1988.77,1903.42,42.12,36.69,1899.64,2007.49,38.33,0,1946.56,1921.4,40.9,31.02
0901313-019,09,013,13-019,351,317,1,3,0,282,360,2,31,0,0,301,362,6,317,340,2,3,313,342,5,0,316,340,6,2
0901313-020,09,013,13-020,205,246,2,6,0,173,268,0,27,0,0,153,272,5,192,259,1,2,186,234,5,0,185,234,5,3
0901313-021,09,013,13-021,1975.92,1035.15,30.38,27.31,0,1663.9,1224,26.34,184.37,4.06,0,1745.36,1245.89,52.9,1862.04,1102.79,30.7,42.59,1862.94,1090.73,57.04,0,1858.95,1071.15,40.89,37.63
0901313-022,09,013,13-022,2019.38,1310.24,18.93,16.2,0,1615.57,1530.35,17.07,239.3,3.07,0,1684.55,1608.1,43.2,1848.69,1424.85,31.91,28.84,1843.95,1421.69,48.64,0,1844.15,1395.67,40.73,29.66
0901313-023,09,013,13-023,1504.58,1018.53,12.69,16.48,0,1204.43,1197.56,14.58,156.32,3.87,0,1257.99,1213.91,37.9,1394.16,1082.27,23.39,18.57,1374,1098.49,30.32,0,1378.79,1077.09,26.38,15.71
0901313-024,09,013,13-024,1353.12,1154.08,20,8,0,1034.1,1316.1,9,199.01,1,0,1142.1,1340.1,28,1263.11,1204.09,26,20,1221.11,1232.09,35,0,1235.11,1217.09,26,19
0901313-025,09,013,13-025,1425.17,1164.16,36.45,17.28,1.02,1213.99,1229.31,24.25,184.82,6.04,0,1244.28,1335.64,34.79,1368.38,1190.73,32.71,30.46,1367.51,1181.61,46.8,0,1352.74,1175.21,40.57,32.62
0901515-001,09,015,15-001,1105,900,19,13,0,962,965,10,113,5,0,978,1021,27,1044,922,25,22,1049,913,39,0,1059,895,28,19
0901515-002,09,015,15-002,1530.48,1509.27,31.99,20.99,0,1169.34,1769.26,30.98,162.11,3,0,1148.4,1874.28,44.03,1389.42,1605.28,36.02,28.01,1342.42,1632.31,58.02,0,1349.43,1613.34,43.02,26.98
0901515-003,09,015,15-003,971.32,1281.31,24.6,21.65,0,730.21,1445.66,10.83,139.74,1.97,0,719.39,1523.4,39.36,893.57,1322.65,39.36,16.73,856.18,1344.3,61.01,0,858.14,1353.15,38.38,21.65
0901515-004,09,015,15-004,514.69,483.77,9.97,9.97,0,438.88,546.61,5.98,49.87,1,0,425.91,560.57,18.95,509.7,478.78,5.98,11.97,473.79,497.73,14.96,0,488.75,479.78,8.98,10.97
0901515-005,09,015,15-005,380,450,11,5,0,288,502,4,59,0,0,303,528,11,355,474,6,5,341,359,16,0,346,471,7,5
0901515-006,09,015,15-006,508,380,7,7,0,424,434,3,63,1,0,422,457,17,463,401,7,15,462,400,17,0,471,404,10,5
0901515-007,09,015,15-007,452,456,10,4,0,340,532,7,53,0,0,347,544,24,421,487,0,9,420,480,14,0,397,493,13,6
0901515-008,09,015,15-008,277,215,6,3,0,209,270,6,26,0,0,227,263,13,252,232,8,5,254,225,14,0,250,227,11,5
0901515-009,09,015,15-009,358,308,3,2,0,249,392,4,38,0,0,270,393,11,325,330,4,7,329,323,7,0,324,332,2,4
0901515-010,09,015,15-010,613,814,14,5,0,468,921,17,73,1,0,471,953,15,572,837,20,12,557,852,18,0,550,849,17,10
0901515-011,09,015,15-011,104,101,1,0,0,81,122,0,7,0,0,77,128,2,96,103,2,1,88,111,3,0,87,110,2,0
0901515-012,09,015,15-012,371,487,5,5,0,264,560,4,48,2,0,276,584,15,311,523,10,11,324,519,16,0,310,527,11,11
0901515-013,09,015,15-013,529.52,482.73,7.01,5.01,0,399.66,556.74,6.02,67.89,0,0,405.6,589.72,18.97,477.58,513.72,13.98,9.99,464.58,526.69,20.98,0,467.57,526.66,15.98,4.02
0901515-014,09,015,15-014,620.92,602.99,15.35,10.32,0,450.51,724.29,14.13,86.01,1.03,0,467.28,759.45,22.57,552.86,658.49,19.58,12.24,569.2,630.93,30.9,0,549.29,645.03,20.56,15.31
0901515-015,09,015,15-015,493.86,457.24,14.56,1.03,0,365.83,558.06,8.76,54.39,0.01,0,359.08,592.07,11.67,460.77,478.66,15.56,4.9,428.96,494,24.32,0,441.46,488.24,12.68,9.72
0901515-016,09,015,15-016,308.1,351.87,7.58,8.06,0,222.86,411.95,9.35,40.26,1,0,214.64,440.32,8.49,276.74,365.74,12.63,9.22,274.48,365.36,18.97,0,258.96,373.15,10.52,11.39
0901515-017,09,015,15-017,789.45,782.47,27.91,12.96,0,607.04,921.02,18.94,87.72,1,0,586.1,999.77,19.94,727.65,814.37,36.88,16.95,691.76,826.33,56.82,0,709.71,815.36,36.88,16.95
0901515-018,09,015,15-018,176.36,241.12,2.99,4.98,0,122.55,269.02,2.99,33.88,0,0,135.51,278.99,7.97,161.41,248.1,3.99,6.97,160.42,252.08,3.99,0,155.44,256.07,5.98,1
0901515-019,09,015,15-019,1108,835,19,7,1,918,963,9,92,2,0,920,1022,18,1036,888,20,11,997,909,31,0,1032,878,20,12
0901515-020,09,015,15-020,1159.22,788.23,16.73,9.84,0.98,907.3,963.39,11.81,135.8,0.98,0,916.16,1040.15,36.41,1063.76,857.11,26.57,23.62,1042.11,877.78,42.31,0,1071.64,847.27,35.43,13.78
0901515-021,09,015,15-021,483.78,562.77,9.27,7.16,1.02,376.7,632.61,12.19,57.2,0.02,0,363.84,675.85,14.59,449.24,580.89,7.43,11.38,436.89,589.22,14.69,0,426.36,589.73,12.57,7.22
0901515-022,09,015,15-022,339.49,412.73,4.95,4.95,0,267.23,450.34,4.95,45.53,0.99,0,273.17,462.22,15.84,310.78,415.7,9.9,10.89,305.84,411.74,24.74,0,311.77,410.75,9.9,10.89
0901515-023,09,015,15-023,512,735,19,20,0,378,864,6,63,3,0,375,893,22,456,785,20,20,454,789,31,0,437,798,18,19
0901515-024,09,015,15-024,435.54,385.77,7.04,4.04,0,318.1,471.29,5.02,40.14,1.99,0,329.12,490.2,11.07,401.21,403.04,8.02,6.06,401.32,398.96,14.06,0,380.21,415.05,9.05,6.03
0901515-025,09,015,15-025,770.12,777.99,21.02,11.01,0,575.82,935.21,19.01,79.1,3.01,0,582.85,963.26,24.03,715.03,810.03,25.02,12.02,724.03,799.02,26.04,0,705.98,802.06,22.02,13.02
0901515-026,09,015,15-026,240,287,6,1,0,170,349,4,28,1,0,172,351,5,224,298,5,4,218,290,10,0,213,297,7,0
0901515-027,09,015,15-027,278.34,393.24,5.94,4.95,0,200.09,470.5,2.97,25.75,0,0,206.03,465.55,9.91,234.75,425.93,3.96,7.92,245.65,416.02,9.91,0,228.81,429.89,7.92,4.95
0901515-028,09,015,15-028,622.89,295.19,7.18,8.89,0,511.43,371.79,2.72,71.38,2.64,0,518.3,389.88,15.25,569.69,326.93,8.06,17.81,564.71,330.84,20.56,0,563.16,325.34,9.94,14.24
0901515-029,09,015,15-029,1287.19,307.12,12.3,18.9,0.01,1167.2,399.74,10.39,59.58,1.91,0,1149.19,393.18,30.3,1206.88,321.34,15.12,31.22,1191.8,331.69,33.98,0,1186.14,330.73,17.02,23.68
0901515-030,09,015,15-030,1375.14,321.86,17.77,20.19,1.99,1254.99,421.02,8.64,74.15,8.11,0,1221.08,429.76,47.85,1294.9,348.97,15.96,42.96,1289.94,348.65,26.22,0,1285.58,342.56,20.08,39.47
0901515-031,09,015,15-031,1117.39,761.08,16.34,10.3,0,944.27,870.23,9.18,115.3,0.14,0,925.67,927.66,33.43,1068.32,770.46,16.34,24.51,1002.26,814.69,37.7,0,1026.43,789.28,30.35,19.37
0901515-032,09,015,15-032,305.69,82.78,2.14,6.12,0,266.55,113.83,2.12,17.42,1.01,0,262.73,106.38,12.34,286.15,87.88,5.13,9.24,278.48,100.49,0.24,0,282.74,89.19,6.21,10.17
0901515-033,09,015,15-033,1878,1767,30,22,2,1488,2013,16,195,5,0,1544,2096,45,1698,1896,42,30,1693,1888,58,0,1681,1879,42,35
