GEOID,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREIBLA,G20PREONON
320019505002028,0,0,0,0,0
320019506001197,2.3,8.5,0.1,0,0.1
320019505002038,8,23.2,0.7,0.2,0.3
320019506002024,4.5,19.1,0.2,0,0.3
320019505002055,0,0,0,0,0
320019505001006,15.9,21.6,0.5,0.2,1
320019503013018,0,0,0,0,0
320019503013015,22,39.1,1.6,0.4,1.1
320019501001018,0,0,0,0,0
320019501001017,0,0,0,0,0
320019501001680,0,0,0,0,0
320019501001339,0,0,0,0,0
320019501001374,0,0,0,0,0
320019501001385,0,0,0,0,0
320019501001381,0,0,0,0,0
320019501001380,0,0,0,0,0
320019501001172,0,0,0,0,0
320019507001297,0,0,0,0,0
320019506003009,10.5,33.9,1.3,0.1,0.9
320019505002113,0.8,2.2,0.1,0,0
320019506002044,13.3,56.6,0.5,0.1,0.8
320019503023004,0,0,0,0,0
