GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREOFUE,G20PREOLAR,G20PREOCAR,G20PREOWRI,G20USSDREE,G20USSRWAT,G20USSOWRI
44007442616,44,007,442616,165.76,69.79,0.97,0.97,0,0,0,169.64,53.32,0
44007442617,44,007,442617,226.24,74.21,2.03,0.03,0,0,2,227.36,56.68,0
44007442618,44,007,442618,1121,669,20,1,1,6,11,1200,491,3
44007442619,44,007,442619,615,343,6,2,0,2,5,641,259,2
44007442620,44,007,442620,1177,609,18,6,6,1,10,1220,460,4
44007442621,44,007,442621,313,206,7,0,0,0,1,336,151,0
44007442622,44,007,442622,177,126,2,1,0,1,1,192,98,2
44007442623,44,007,442623,295,149,6,1,3,0,1,302,126,1
44007442624,44,007,442624,311,182,6,1,0,0,1,328,134,1
44007442625,44,007,442625,318,109,2,1,2,0,2,305,84,1
44007442626,44,007,442626,109.93,36,0,0,0.97,0,0,117.72,24.32,1.95
44007442627,44,007,442627,694.48,278.07,5.19,2.02,6.09,2.02,4.06,702.85,209.51,3.06
44007442628,44,007,442628,919,612.56,16.27,5.04,2.02,5.06,3.1,956.15,464.51,1.08
44007442629,44,007,442629,1235.04,685.99,19,4,2.03,3,11,1303.25,489.67,7.05
44007442630,44,007,442630,102.26,46.69,1.09,0.05,1.02,0.01,1.05,106.85,31.29,0.01
44007442631,44,007,442631,513,122,4,3,1,0,2,487,83,0
44007442801,44,007,442801,88.22,34.21,0.9,0,0,0,0.9,82.82,20.71,0.9
44007442802,44,007,442802,204,28,3,1,1,0,2,207,21,1
44007442803,44,007,442803,1372,140,14,0,3,0,9,1337,152,3
44007442804,44,007,442804,237,17,3,1,3,0,3,231,17,2
44007442805,44,007,442805,1776,180,19,2,2,1,14,1733,192,6
44007442806,44,007,442806,128,12,0,0,1,0,0,122,13,1
44007442807,44,007,442807,1.69,0,0,0,0,0,0,1.26,0.42,0
44007442808,44,007,442808,1138.38,133.87,11.73,0,2.93,2.93,8.79,1115.91,121.17,2.93
44007442809,44,007,442809,1441.21,142.22,10.18,0,6.01,0.07,17.03,1412.1,127.91,7
44007442810,44,007,442810,95.05,11.41,0,0,0,0,0.95,92.2,11.41,0
44007442811,44,007,442811,849.76,167.76,3.99,4.99,2,3.99,3,833.78,131.81,2
44007442812,44,007,442812,850.99,227.72,6.87,2.94,0.98,5.89,4.91,853.93,177.66,2.94
44007442813,44,007,442813,612.24,118.24,5.01,0.01,2,2.01,3,622.22,77.19,1
44007442814,44,007,442814,438,98,4,0,3,1,2,435,78,1
44007442815,44,007,442815,982.02,198.93,11.06,2.01,3.03,0.01,4.02,961.83,177.76,3.02
44007442816,44,007,442816,1916.05,239.96,10.85,1,7.88,2.98,11.83,1865.82,225.01,3.94
