GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
48113011402,917,84,69,84,758,3,3,714,46,58,46,558,3,3,94.01,126.19,NA,19000,93675,NA,45960,23,30
48113011601,4310,861,778,861,2649,13,3,3232,496,592,496,1639,8,1,425.55,571.23,NA,19000,92785,NA,16230,23,30
48113011602,3440,757,2473,757,138,40,17,2849,442,1850,442,85,20,10,375.12,503.53,NA,19000,92785,NA,16230,23,10
48113012202,8875,747,4362,747,3458,21,279,6989,464,3623,464,2246,12,180,920.23,1235.24,NA,19000,92785,NA,16230,23,10
48113012203,4589,390,1669,390,2488,16,24,3465,263,1409,263,1501,13,16,456.23,612.41,NA,19000,92785,NA,16230,23,30
48113012204,5143,229,4246,229,624,5,25,4366,164,3620,164,395,5,18,574.86,771.65,NA,19000,92785,NA,16230,23,30
48113012205,7313,642,3184,642,2923,36,518,5946,462,2711,462,1927,25,359,782.9,1050.9,NA,19000,92785,NA,16230,23,30
48113012601,4577,456,2550,456,770,12,786,3629,296,1974,296,533,10,520,477.82,641.39,NA,19000,92785,NA,16230,23,10
48113012602,6216,560,4724,560,784,28,107,5409,418,3931,418,536,19,87,712.19,955.99,NA,19000,92785,NA,16230,23,8
48113013004,5705,208,5345,208,89,17,46,4641,151,4228,151,60,14,37,611.07,820.25,NA,19000,92785,NA,37020,21,8
48113013005,5138,568,3913,568,481,28,141,4134,360,3049,360,251,18,96,544.31,730.65,NA,19000,92785,NA,37020,21,8
48113013006,6404,779,4179,779,1231,24,184,6038,598,3731,598,938,23,150,795.01,1067.16,NA,19000,92785,NA,16230,21,10
48113013007,2946,200,2459,200,208,12,65,2366,140,1900,140,132,10,44,311.53,418.17,NA,19000,92785,NA,37020,21,8
48113013008,3101,83,2785,83,198,7,25,2458,60,2196,60,116,5,21,323.64,434.43,NA,19000,92785,NA,37020,21,8
48113013009,4756,307,3540,307,808,13,82,3488,199,2569,199,447,9,65,459.26,616.47,NA,19000,92785,NA,37020,21,8
48113013101,2648,53,2560,53,11,4,20,2220,47,2099,47,6,4,17,292.3,392.36,NA,19000,92785,NA,16230,21,30
48113013102,1793,26,1743,26,2,8,14,1568,22,1507,22,1,5,11,206.45,277.13,NA,19000,92785,NA,16230,21,30
48113013103,6570,483,5304,483,610,23,148,6603,432,5054,432,536,22,127,869.4,1167.02,NA,19000,92785,NA,16230,21,30
48113013401,891,19,847,19,7,0,18,723,19,667,19,7,0,11,95.2,127.78,NA,19000,92785,NA,16230,21,8
48113013402,1006,19,970,19,2,2,13,853,13,814,13,2,2,9,112.31,150.76,NA,19000,92785,NA,16230,21,8
48113013605,5803,152,5325,152,69,14,241,4452,105,4027,105,41,10,164,586.18,786.85,NA,19000,92785,NA,37020,21,26
