GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
42101000109,2503,33,90,33,2361,5,12,1739,22,88,22,1596,3,8,513.48,253.92,60000,60000,18990,23,2
42101000110,4591,47,69,47,4420,24,27,3301,23,66,23,3156,16,17,974.69,481.99,60000,60000,18990,23,2
42101000111,5333,51,294,51,4951,9,26,3853,29,262,29,3507,7,19,1137.68,562.58,60000,60000,18990,23,2
42101000112,6547,51,55,51,6405,21,14,4799,34,52,34,4653,16,10,1417.01,700.71,60000,60000,18990,23,2
42101000113,3545,13,35,13,3470,13,8,2742,10,34,10,2671,9,8,809.64,400.37,60000,60000,18990,23,2
42101000114,7232,107,611,107,6374,29,102,5620,77,523,77,4840,24,79,1659.43,820.59,60000,60000,18990,8,2
42101000115,3776,46,3572,46,95,9,53,3053,33,2873,33,70,7,37,901.47,445.78,60000,60000,18990,8,2
42101000116,2997,69,2361,69,478,12,75,2556,52,2004,52,377,11,60,754.72,373.21,60000,60000,18990,8,2
42101000117,2088,62,1074,62,911,8,27,1824,58,955,58,721,5,27,538.58,266.33,60000,60000,18990,23,2
42101000118,7059,56,246,56,6719,29,8,5295,36,205,36,4995,15,8,1563.47,773.13,60000,60000,18990,23,2
42101000119,6302,62,216,62,5984,14,25,4684,39,196,39,4387,10,13,1383.05,683.92,60000,60000,18990,23,2
42101000120,1781,21,479,21,1223,3,38,1463,19,443,19,943,3,36,431.98,213.62,60000,60000,18990,23,2
42101000121,3007,47,1614,47,1294,9,42,2651,43,1531,43,992,8,34,782.77,387.08,60000,60000,18990,23,2
42101000122,6955,108,5449,108,1126,12,256,6772,103,5300,103,1033,12,221,1999.58,988.79,60000,60000,18990,23,2
42101000123,117,3,17,3,97,0,0,88,1,15,1,71,0,0,25.98,12.85,60000,60000,18990,23,2
42101000124,8,0,2,0,6,0,0,8,0,2,0,6,0,0,2.36,1.17,60000,60000,18990,23,2
42101000125,3612,137,2912,137,441,7,108,3576,123,2831,123,388,7,104,1055.89,522.14,60000,60000,18990,23,2
42101000126,635,93,360,93,144,1,30,612,65,341,65,118,1,22,180.71,89.36,60000,60000,18990,13,1
42101000127,399,39,57,39,300,1,0,337,30,55,30,221,1,0,99.51,49.21,60000,60000,18990,13,1
42101000128,163,4,138,4,18,0,3,153,2,129,2,17,0,3,45.18,22.34,60000,60000,18990,13,3
42101000129,430,29,343,29,54,0,4,418,25,317,25,47,0,4,123.42,61.03,60000,60000,18990,13,3
42101000130,1009,153,338,153,511,4,3,898,92,311,92,397,3,3,265.15,131.12,60000,60000,18990,13,1
42101000131,2200,132,47,132,2000,9,8,1497,73,46,73,1294,5,6,442.02,218.58,60000,60000,18990,13,1
42101000132,4166,132,141,132,3801,8,77,2736,97,130,97,2354,7,51,807.86,399.49,60000,60000,18990,13,1
42101000133,2264,625,464,625,1145,13,10,2151,425,438,425,841,12,10,635.13,314.07,60000,60000,18990,23,2
42101000134,5401,797,3768,797,743,11,73,5277,537,3511,537,609,11,72,1558.15,770.51,60000,60000,18990,13,2
42101000135,3726,385,1361,385,1919,9,42,3084,250,1221,250,1320,8,35,910.62,450.3,60000,60000,18990,13,2
42101000136,5882,124,5273,124,383,12,86,5295,108,4694,108,299,9,77,1563.47,773.13,60000,60000,18990,13,2
42101000137,6573,92,465,92,5975,10,25,4661,63,394,63,4114,7,20,1376.26,680.56,60000,60000,18990,23,2
42101000138,2941,23,81,23,2826,3,7,2156,13,67,13,2053,3,7,636.61,314.8,60000,60000,18990,23,2
42101000139,4785,105,413,105,4217,12,31,2981,71,293,71,2522,9,15,880.21,435.26,60000,60000,18990,23,2
42101000140,3594,99,106,99,3357,7,24,2683,72,100,72,2416,6,17,792.22,391.75,60000,60000,18990,13,1
