GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16USSRTHU,G16USSDWIL,G16HALRNOE,G16HALDHAW,G16PUCRNEL,G16PUCDRED
46093VTD-31,46,093,VTD-31,227.36,18.18,11,5.13,221.04,39.41,220.05,40.43,230.41,19.08
46093VTD-33,46,093,VTD-33,75.76,5.06,0,3.88,65.74,12.17,65.85,12.93,76.95,2.15
46093VTD-35,46,093,VTD-35,48,0,1,1,48,3,47,3,48,2
46093VTD-40,46,093,VTD-40,28.44,5.91,0.12,0,31.42,4.99,26.5,9.89,22.53,6.98
46093VTD-41,46,093,VTD-41,50.15,5.08,0.02,0.98,47.07,8.2,50.02,6.16,48.78,4.16
46093VTD-6A,46,093,VTD-6A,102.69,20.73,8.88,0.99,112.55,18.77,113.52,20.75,104.67,21.71
46093VTD-CS,46,093,VTD-CS,155,60,20,3,166,70,157,78,170,54
46093VTD-ES,46,093,VTD-ES,154.14,67.19,15.81,2.96,177.85,62.25,165.99,73.12,177.85,52.37
46093VTD-NE,46,093,VTD-NE,81.12,33.87,13.22,2.04,87.42,42.82,78.26,50.97,84.42,40.69
46093VTD-NW,46,093,VTD-NW,333.64,115.89,42.99,5.93,379.44,104.51,342.98,138.16,358.07,111.55
46093VTD-RS,46,093,VTD-RS,238.59,61.23,31.9,1.14,266.82,69.08,250.26,85.6,265.79,65.6
46093VTD-SE,46,093,VTD-SE,339.11,102.89,37.18,6,377.36,110.77,357.2,129.94,387.14,87.79
46093VTD-SS,46,093,VTD-SS,221.14,82.14,23.47,3.61,252.73,78.53,238.29,92.07,251.83,66.79
46093VTD-SW,46,093,VTD-SW,197.28,81.87,19.73,1.97,222.92,70.03,205.17,90.75,218.98,67.07
46093VTD-WS,46,093,VTD-WS,96.7,44.9,11.32,3.04,115.04,40.83,107.78,47.07,111.91,37.85
460950VTD-2,46,095,0VTD-2,149.3,96.65,14.42,2.48,180.16,88.17,158.81,107.66,162.48,100
460950VTD-3,46,095,0VTD-3,1.23,0.77,0.18,0.01,1.46,0.77,1.29,0.94,1.33,0.88
460950VTD-4,46,095,0VTD-4,151.69,53.18,11,4.47,162.52,54.06,155.71,64.93,170.12,50.57
460950VTD-5,46,095,0VTD-5,94.08,83.3,5.88,3.92,112.7,77.42,97.02,96.04,108.78,76.44
460970VTD-1,46,097,0VTD-1,76,51,8,2,92,45,78,59,96,29
460970VTD-2,46,097,0VTD-2,75,38,7,2,89,36,77,48,101,20
460970VTD-3,46,097,0VTD-3,62,26,13,1,78,27,68,37,86,18
460970VTD-4,46,097,0VTD-4,81,44,11,1,106,34,84,55,118,22
460970VTD-5,46,097,0VTD-5,62.91,17.98,2,0,66.91,15.98,53.93,29.96,65.91,15.98
