GEOID,G18USSDHIR,G18USSRCUR,G18GOVDIGE,G18GOVRTUP,G18GOVGBRE,G18GOVITER
150010220001287,0,0,0,0,0,0
150010220001133,1.4,0.3,1.2,0.5,0.1,0
150010220001127,0,0,0,0,0,0
150010220001132,0,0,0,0,0,0
150010220001324,0,0,0,0,0,0
150010220001139,0,0,0,0,0,0
150010220001300,0,0,0,0,0,0
150010220001545,0,0,0,0,0,0
150010220001215,0,0,0,0,0,0
150010220001228,0,0,0,0,0,0
150010220001227,0,0,0,0,0,0
150010220001151,0,0,0,0,0,0
150010220001224,0,0,0,0,0,0
150010220001159,0,0,0,0,0,0
150010220001170,0,0,0,0,0,0
150010220001111,0,0,0,0,0,0
150010220001107,0,0,0,0,0,0
150010220001105,0,0,0,0,0,0
150010220002079,0,0,0,0,0,0
150010220001243,1.4,0.4,1.2,0.5,0.1,0
150010220001064,3.8,1.2,3.3,1.4,0.2,0
150010220001046,0,0,0,0,0,0
150010220001048,6.7,1.9,5.5,2.8,0.2,0.1
150010220001219,0,0,0,0,0,0
150010220001384,0,0,0,0,0,0
150010220001329,0,0,0,0,0,0
150010220001337,0,0,0,0,0,0
150010220001321,0,0,0,0,0,0
150010220001499,0,0,0,0,0,0
150010211062045,0,0,0,0,0,0
150010211062075,0,0,0,0,0,0
150010211064027,0,0,0,0,0,0
150010211064109,0.2,0.1,0.2,0.1,0,0
150010211064017,0,0,0,0,0,0
150010211064107,1.5,0.4,1.3,0.5,0.1,0
150010211064108,0,0,0,0,0,0
150010211064031,0,0,0,0,0,0
150010211064035,2.2,0.5,1.9,0.7,0.2,0
150010211064085,0.2,0.1,0.2,0.1,0,0
150010211064006,0.7,0.2,0.6,0.2,0.1,0
150010211064114,1.7,0.4,1.5,0.5,0.1,0
150010211064077,5.4,1.3,4.7,1.7,0.4,0.1
150010211062028,2.5,0.8,2.2,1,0.1,0
150010211063026,3.6,1.2,3.2,1.5,0.2,0
150010211012005,7.8,1.9,6.8,2.4,0.6,0.1
150010211012007,2.4,0.6,2.1,0.8,0.2,0
150010211011029,16.6,4.1,14.4,5.2,1.2,0.2
150010211062066,2.5,0.8,2.2,1,0.1,0
150010211064064,3.9,1,3.4,1.2,0.3,0
150010211062061,2,0.5,1.7,0.6,0.1,0
150010211064062,1.2,0.3,1.1,0.4,0.1,0
150010211011070,0,0,0,0,0,0
150010211064048,2,0.5,1.7,0.6,0.1,0
150010201004024,5.5,1.8,5.1,1.9,0.3,0.1
150010201002047,8.2,2,7.2,2.5,0.3,0.1
150010201002038,0,0,0,0,0,0
150010201002022,3.7,0.9,3.3,1.1,0.1,0.1
150010201001269,0.7,0.2,0.6,0.2,0,0
150010201001316,0,0,0,0,0,0
150010201001320,0,0,0,0,0,0
150010201001366,0,0,0,0,0,0
150010201001302,0,0,0,0,0,0
150010201001333,0,0,0,0,0,0
150010201001149,0,0,0,0,0,0
150010201003025,0,0,0,0,0,0
150010201003056,1.7,0.4,1.5,0.5,0.1,0
150010201003065,0,0,0,0,0,0
150010201003090,6.5,1.6,5.7,2,0.2,0.1
150010201002122,0,0,0,0,0,0
150010201002142,0,0,0,0,0,0
150010201002093,0,0,0,0,0,0
150010201002185,0,0,0,0,0,0
150010217042007,42.2,14.2,34.9,20.3,1.4,0.4
150010217041036,69.9,38.9,62.6,42.3,3.2,1
150010217041029,2.9,1.6,2.6,1.7,0.1,0
150010217041015,0,0,0,0,0,0
150010217022012,0,0,0,0,0,0
150010217023028,10.7,3.6,8.8,5.1,0.4,0.1
150010217023058,15.8,5.3,13,7.6,0.5,0.1
150010217021003,0,0,0,0,0,0
150010217041113,27.9,9.4,23,13.4,0.9,0.2
150010217022031,15.8,5.3,13,7.6,0.5,0.1
150010217023030,0,0,0,0,0,0
150010217043012,18.9,10.5,16.9,11.4,0.9,0.3
150010217043015,19.5,10.8,17.5,11.8,0.9,0.3
150010213001021,1.1,0.3,1,0.3,0.1,0
150010213002036,9.1,2.6,8.3,2.9,0.4,0.1
150010214023016,26.6,7.5,24.4,8.4,1.1,0.3
150010213002035,80.5,22.7,73.7,25.3,3.2,1
150010213001039,6.6,1.8,6,2,0.3,0.1
150010213001177,0,0,0,0,0,0
150010213002031,0,0,0,0,0,0
150010213002033,0,0,0,0,0,0
150010213002032,0,0,0,0,0,0
150010202021151,0,0,0,0,0,0
150010202021046,0,0,0,0,0,0
150010202021041,0,0,0,0,0,0
150010202021271,0,0,0,0,0,0
150010202021043,0,0,0,0,0,0
150010202021033,0,0,0,0,0,0
