GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDCAR,G18USSRARL,G18USSGTHE,G18USSLFRO,G18HALDROC,G18HALRWAL,G18ATGDJEN,G18ATGRPEP,G18TREDDAV,G18TRERSIM,G18TREGCHA,G18AUDDMCG,G18AUDRSPA
10001007-31,10,001,007-31,644.6,221.9,10.4,14.6,671.8,203.9,642.1,230.2,585.8,263.9,24.2,643.5,234.8
10001007-32,10,001,007-32,18.9,23.1,0.6,1.8,21,20.7,19.2,23.4,15.5,27.1,1.2,18.6,24.7
10001007-33,10,001,007-33,491.6,417.7,11.3,10.5,539.5,356.8,514.1,405.3,429.5,472.5,18.6,498.5,420
10001007-34,10,001,007-34,733.9,554,17.9,10.3,764.8,496,739.5,550.5,607.4,668.5,19.9,687.2,604
10001008-28,10,001,008-28,259,287.7,3.1,5.1,269,274.1,269.2,276.7,219.3,322.9,7.2,246.9,298.5
10001008-32,10,001,008-32,13.6,12.8,0.3,0.9,15,11.3,13.9,12.8,11.9,14.8,0.7,13.6,13.5
10001008-33,10,001,008-33,117.6,108.2,2.5,3.1,128.9,93.8,122.6,104.8,100.7,122.7,4.7,118.7,108.5
10001008-34,10,001,008-34,573.5,483.9,8.3,9.4,610.7,437.2,579.9,484.7,499.8,553.8,10.2,556.7,501.6
10001009-08,10,001,009-08,309.5,272.3,6.6,7.6,322.8,257.3,304.1,284.7,271.5,308.6,10.3,295.2,291.9
10001009-28,10,001,009-28,100.5,79.2,1.2,0.3,104.3,70.7,100.2,76.8,89.4,85.9,2.6,99.6,78.6
10001009-32,10,001,009-32,511,359,12.8,5.8,527.9,332.1,511.9,363.7,437.3,419,20.7,489.8,380.8
10001009-34,10,001,009-34,108.2,94.9,1.9,1.8,116.8,84.6,108.9,95.3,95.3,107.2,2.2,105.9,98.3
10001010-08,10,001,010-08,277,167.7,6.1,10.3,284.9,161.6,274,178.6,245.4,195.7,14.6,269.1,185.9
10001010-28,10,001,010-28,44.4,13.9,1,1.7,46.1,14.2,42.8,17.6,38.1,20.5,2.3,40.8,19.6
10001010-32,10,001,010-32,16.9,23.1,0.9,1.1,20.7,19.8,20.5,21.1,14,26.7,0.7,18.5,22.7
10001010-34,10,001,010-34,155.9,345.2,5.2,6.9,179,312,172.8,330.9,118.9,382.1,5.7,146.1,357.6
10001011-08,10,001,011-08,22.3,13.5,0.5,0.8,23,13,22.1,14.4,19.8,15.8,1.2,21.7,15
10001011-28,10,001,011-28,407,109,9,5,421,104,402,125,391,119,14,410,110
10001012-08,10,001,012-08,45.6,23.2,0.7,1,47.5,21.4,44.2,25.4,41.4,26.7,1.4,43.9,25.4
10001012-28,10,001,012-28,147,67.6,3.3,4.1,152,62.4,146.3,72.8,134.8,79.4,3.5,142.4,73.1
10001013-28,10,001,013-28,118,130.2,3.5,5.9,134.4,114.8,130.6,122.7,101.8,147.6,4.1,122.7,129.5
10001014-28,10,001,014-28,692,400.9,10.7,11.1,698.4,373.7,679.8,407.7,606,474.9,19,659.7,418.9
10003001-01,10,003,001-01,582.5,51.2,5,6,595.5,42.2,515.5,125.2,517.4,100.3,9,526.5,100.2
10003001-02,10,003,001-02,692.7,27.9,13,6,719.6,24.9,593,140.5,669.8,33.9,16.9,676.7,35.9
10003001-03,10,003,001-03,430,26,10,15,451,32,409,68,425,28,15,425,46
10003001-04,10,003,001-04,916.3,257.4,17.8,11.8,957.8,220,939,260.4,674.7,493.2,24.7,693.4,492.2
10003001-05,10,003,001-05,838.8,189.3,9.2,11.1,856.9,176.4,799.7,241.6,784.5,231.6,22.2,809.8,221.5
10003001-06,10,003,001-06,454,212,9,6,474,197,449,224,406,248,17,406,265
10003001-07,10,003,001-07,606,333,17,13,616,331,610,340,525,402,29,525,430
10003001-08,10,003,001-08,339,435,3,6,341,424,329,449,255,507,15,285,488
10003001-09,10,003,001-09,629.5,542.3,17.3,10.9,649.5,522.7,628.7,545.8,517.3,640.9,23.8,581.5,592.8
10003001-10,10,003,001-10,732.7,415.5,8.3,20.1,741.7,398.5,734.1,411.3,584.7,543.2,26.4,668.9,483
10003001-11,10,003,001-11,532,380,12,10,540,366,513,407,471,444,13,499,417
10003001-12,10,003,001-12,779,343,13,9,820,300,804,326,615,488,22,693,424
10003001-13,10,003,001-13,581.5,274.6,14.1,13.1,600.7,266.5,597.5,269.7,511.1,341,20.1,537.3,329.9
10003001-15,10,003,001-15,657.6,380.9,19.3,13.1,681.3,368.6,647.4,403.8,576.5,451.5,29.7,625.8,424.5
10003001-16,10,003,001-16,611.5,201.1,11.7,8.1,607.6,204.8,588.9,226.4,555.2,237.2,24.9,589.6,221.6
10003001-17,10,003,001-17,366.3,144.7,3.6,7.4,371.4,139.4,364.2,143.7,346.2,149.8,17.2,352.5,159.4
10003001-18,10,003,001-18,613.6,176.7,11.3,8.1,623.4,171,610.4,185.6,566.6,217.2,11.3,597.4,199.4
10003001-19,10,003,001-19,577.2,283.6,14.4,16.3,597.8,280.3,595.4,270.7,499.8,369.6,14.7,556.6,320.5
10003001-21,10,003,001-21,353,170,2,3,349,165,337,178,271,246,5,290,229
