GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,cd_1990,cd_2000,ndv,nrv
12009065233,12,009,065233,6869,6686,36,97,11,8,9,1,21,6422,6282,22,73,10,8,9,1,17,NA,NA,NA,NA,NA,18,19,660.5810298309917,1119.1668830177155
12009065234,12,009,065234,3528,3435,7,56,5,7,2,0,16,3220,3147,6,43,5,7,2,0,10,NA,NA,NA,NA,NA,18,19,331.21627468947264,561.1518784361638
12009066101,12,009,066101,4285,4104,3,102,2,39,0,1,34,3515,3388,2,72,2,30,0,1,20,NA,NA,NA,NA,NA,18,19,430.60056607111267,727.5154785069874
12009066102,12,009,066102,6533,6288,19,127,10,55,4,3,27,5634,5437,16,104,9,46,2,1,19,NA,NA,NA,NA,NA,18,19,690.1859428861021,1166.0945109269892
12009066200,12,009,0662,2798,2672,4,68,3,21,0,2,28,2293,2191,4,58,3,19,0,2,16,NA,NA,NA,NA,NA,18,19,280.9010236133887,474.5926009150846
12009066301,12,009,066301,5660,5269,51,180,11,88,1,7,53,4604,4318,46,126,10,69,1,4,30,NA,NA,NA,NA,NA,18,19,564.0071141369567,952.9107433986259
12009066302,12,009,066302,4198,3952,27,129,4,52,1,2,31,3378,3197,18,97,4,40,1,2,19,NA,NA,NA,NA,NA,18,19,413.817556810304,699.1599676803993
12009066400,12,009,0664,4868,4529,35,162,12,68,3,9,50,4088,3842,28,123,7,53,1,3,31,NA,NA,NA,NA,NA,18,19,500.79519604515184,846.1118851028633
12009066500,12,009,0665,3409,3154,30,106,12,62,0,3,42,2661,2478,21,79,7,48,0,1,27,NA,NA,NA,NA,NA,18,19,325.98239155483094,550.7592285368687
12009066600,12,009,0666,4591,4283,57,115,2,47,1,15,71,3640,3429,37,84,2,42,1,7,38,NA,NA,NA,NA,NA,18,19,445.91353072513516,753.3872949546043
12009066700,12,009,0667,4967,4578,39,168,15,100,2,5,60,3834,3563,31,111,10,76,2,0,41,NA,NA,NA,NA,NA,18,19,469.67925186817814,793.5403540813058
12009066800,12,009,0668,2417,1811,235,229,10,41,0,10,81,1461,1131,138,118,6,33,0,2,33,NA,NA,NA,NA,NA,18,19,178.97793087621497,302.3897906397464
12009066900,12,009,0669,6515,5964,73,214,29,142,2,12,79,5333,4909,63,164,20,120,2,6,49,NA,NA,NA,NA,NA,18,19,653.3123239992159,1103.795176921128
12009067100,12,009,0671,2137,1325,406,261,18,57,4,8,58,1317,839,244,155,11,42,4,3,19,NA,NA,NA,NA,NA,18,19,161.33739559478107,272.58545809209176
12009068100,12,009,0681,5750,5422,29,156,19,60,3,9,52,4912,4666,22,120,14,46,3,6,35,NA,NA,NA,NA,NA,18,19,601.7382590444681,1016.658899125554
12009068200,12,009,0682,3147,2988,19,73,4,25,1,1,36,2678,2555,15,56,4,21,1,0,26,NA,NA,NA,NA,NA,18,19,710.9870491803279,1164.93
12009068300,12,009,0683,3138,2985,22,62,8,28,3,4,26,2995,2868,21,50,7,26,3,1,19,NA,NA,NA,NA,NA,18,19,795.1479508196721,1302.825
