GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20PREPLAR,G20PRESKEN,G20PREIWES,G20PREIPIE,G20PREOWRI,G20USSDSMI,G20USSRLEW,G20USSMOCO,G20USSCSTE,G20USSOWRI
27095000035,27,095,000035,62,216,6,1,1,0,0,1,0,0,66,184,24,6,0
27095000040,27,095,000040,169,568,19,1,3,0,1,0,0,3,168,518,41,17,1
27095000045,27,095,000045,56.25,235.61,0.98,0.03,0,0,0,0,0.01,1.91,62.77,217.23,11.69,1.05,0.95
27095000050,27,095,000050,186.82,259.96,5.93,0,0.99,0,0,1.98,0.99,0,161.12,231.3,51.4,6.92,0
27095000055,27,095,000055,98.34,249.49,3.04,0,0.99,0,0,0.06,0.01,0,94.03,228.27,15.52,6.1,0
27095000060,27,095,000060,396.72,245.21,0,0,1,1.99,1,8.97,1.99,0,312.99,215.31,101.67,19.94,1
27095000065,27,095,000065,7.61,15.22,0,0,0,0,0,0,0,0,7.61,14.27,0,0,0
27095000070,27,095,000070,525.52,989.92,24.46,2.93,2.95,0,0.98,1,5.88,1.01,488.42,847.47,116.87,46.04,1.95
27095000075,27,095,000075,237.88,764.29,11.55,0.07,3.07,0,0.02,0.02,2.13,2.02,232.04,698.08,51.64,21.04,0.04
27095000080,27,095,000080,210.35,697,11.04,4,2,0,0,1.01,2,1.05,211.38,635.88,46.06,19.07,1
27095000085,27,095,000085,9.71,53.35,2.02,0.03,0,0.98,0,0.06,0,0,12.62,49.36,2.87,1.2,0
27095000090,27,095,000090,160.71,199.05,6.13,2.04,0.02,0,0,0.02,0.07,1,155.13,170.52,22.72,7.22,0.02
27095000095,27,095,000095,100.34,187.45,1.99,0.97,0,0.02,0,1.94,0,0,99.41,150.51,32.06,7.79,0
27095000100,27,095,000100,102.03,381.75,6.05,1,0,1,0,1,0,0.1,109.4,342.76,22.63,9.05,0.05
27095000105,27,095,000105,29.65,84,2.96,0,0,0,0,0.99,0,3.95,31.62,74.12,4.94,5.93,0
27095000110,27,095,000110,846.22,1527.88,35.18,9.03,5,0,1.01,5.03,4.01,3.02,745.21,1303.95,228.72,83.21,4.01
27095000115,27,095,000115,312.78,952.12,17.82,2.97,0,0,0.99,2.97,0.99,1.98,310.79,862.05,70.28,20.79,0.99
27095000120,27,095,000120,172.12,313.19,5.86,1.95,0.98,0.01,0,1.01,2.94,0,147.45,287.71,32.54,9.83,0.98
27095000125,27,095,000125,71.23,99.33,1.03,0,0.02,0,0,1.96,0,0,67.24,89.17,9.08,5.98,0
27097000005,27,097,000005,70.89,303.52,2,0,0,0,0,0,0,0,71.89,279.56,11.98,4.99,0
27097000010,27,097,000010,75.72,355.19,1.05,1.94,0.02,0.01,0.01,0.02,1,0.03,80.35,307.23,19.97,7.95,0
27097000015,27,097,000015,155.01,622.11,7,1,0.01,0,0,0.99,0.01,0.01,169.01,558.11,31.05,6.04,0
27097000020,27,097,000020,21,121,0,0,0,0,0,0,0,3,23,105,14,0,0
27097000025,27,097,000025,15,133,8,0,0,0,0,1,0,0,22,112,13,3,0
27097000030,27,097,000030,36.11,356.48,7,1,1,0,0,1,1,0,43.11,337.44,11.02,1.01,0
27097000035,27,097,000035,30.02,292.07,0,0,0,0,1,0,1,0,38.02,269.06,11.01,2,0
27097000045,27,097,000045,36.05,235.17,0,1,1,0,0,0,0,1,38.06,219.16,5.01,2,1
