GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRNEW,G18USSDKLO,G18USSMSCH,G18USSGOVE,G18USSOWRI,G18GOVRJOH,G18GOVDWAL,G18GOVMWRI,G18GOVLWEL,G18GOVOWRI,G18SOSRHOW,G18SOSDSIM,G18SOSIDEN,G18SOSOWRI,G18AUDRMYH,G18AUDDBLA,G18AUDMFOR,G18AUDLDOC,G18AUDOWRI,G18ATGRWAR,G18ATGDELL,G18ATGMJOH,G18ATGOWRI
27145000190,27,145,000190,177.8,147.7,3.8,3.1,0,213.9,107.1,9.2,0.1,0,221.8,94,9.6,0,212.6,90.9,14.5,5.2,0,222.9,90.3,13.9,0
27145000192,27,145,000192,188.3,152.8,1.1,1.7,0,218.1,118.2,1.8,3.3,0,218.5,111.1,9.4,0,218.8,108.8,2.8,7.6,0,224.8,109.5,8.7,0
27145000195,27,145,000195,71.6,27.8,1,0,0,75.5,20.9,2,1,0,76.5,12.9,7,0,79.5,10.9,2,4,0,83.5,10.9,3,0
27145000200,27,145,000200,48,35,1,0,0,51,29,2,0,0,53,24,3,0,52,21,4,1,0,54,21,4,0
27145000205,27,145,000205,156.8,73.9,3,3,0,171.2,60.5,4,1,0,167.1,48.5,7.2,0,169.1,43.5,7.1,6,0,178,38.6,10.1,0
27145000210,27,145,000210,493.5,471.8,29.4,5,0,581.4,365.9,26.7,13.8,1,610.9,343,36.7,0,567.4,331.5,50.2,32.5,1,588.6,325.3,67,1
27145000215,27,145,000215,365.2,397.5,5.7,4,0,460.6,283.1,15.4,9.2,0,471.2,259.8,29.4,0,444.6,267.4,22.9,16.5,0,478.4,251.5,31.2,3
27145000225,27,145,000225,58,32,1,0,0,69,21,0,1,0,67,18,6,0,66,19,1,2,0,72,15,3,1
27145000230,27,145,000230,386,311.1,29.1,6.2,0,466.5,238.9,17,3.6,1,504.2,191,29.1,0,457,213.3,31.8,13.3,0,480.7,196.2,45.5,1
27145000235,27,145,000235,742.9,485.2,21.2,7,0,865,363,20.1,7.1,0,865.9,332.9,41.3,0,832.9,323.6,50.4,16.1,0,867.2,316.5,51.6,0
27145000245,27,145,000245,20.9,8.9,4,0,0,23.9,8,2,0,0,25.9,7,0,0,22.9,5,5,0,0,24.9,5,4,0
27145000250,27,145,000250,18,11,3,0,0,23,6,3,0,0,24,6,1,0,21,7,2,1,0,22,6,4,0
27145000255,27,145,000255,1033.7,610.1,22.9,12.9,0,1203.5,446.3,22.9,8.9,0,1198.6,385.8,62.6,1,1155.9,391.6,64.6,36.8,0,1200.6,380.7,75.5,2
27145000260,27,145,000260,74,296,59,15,0,84,299,51,10,0,97,296,39,0,81,253,78,19,0,88,281,65,0
27145000265,27,145,000265,196,557,73,12,2,213,556,58,12,0,233,539,52,0,205,479,111,24,0,227,508,95,1
27145000270,27,145,000270,102,274,41,9,0,118,272,29,8,0,120,281,24,1,117,232,56,15,1,127,258,39,0
27145000275,27,145,000275,237,361,34,9,0,268,338,25,9,0,283,332,21,0,252,318,48,13,0,274,308,48,2
27145000280,27,145,000280,158.2,276.3,30,17,0,178.2,265.2,28,8,0,175.2,272.2,30,0,164.2,258.2,48,8,0,175.2,251.2,51,1
27145000285,27,145,000285,399.6,458.1,20.1,8.2,0,431.8,420.5,23.4,7.2,0,438.6,398.9,25.9,0,435.3,368.5,37.9,19.5,0,457,365.3,43.1,3
27145000290,27,145,000290,155,651,60,8,0,187,638,38,11,0,188,644,35,0,178,598,71,15,0,179,614,71,1
27145000295,27,145,000295,436.7,799.5,41,10.7,1.9,494.4,716.7,48.6,13.7,1,502.3,698.9,54.6,1,490.4,659.2,79.8,29.3,1,516.6,642.8,107,2
27145000305,27,145,000305,626,727,21,7,2,733,621,18,9,0,740,569,52,0,718,566,44,26,0,772,527,69,0
27145000307,27,145,000307,418.2,624.8,43.1,15.5,2.6,483.8,569.5,39.6,12.9,0,495,539.3,57.7,2.6,475.1,520.4,69,29.3,1.7,499.3,514.4,80.2,1.7
27145000310,27,145,000310,600.4,697,20.4,11,1.6,712,571.5,27.4,12.5,1.6,717.5,539.4,50.1,0,689.4,516.8,64.1,25,0,726.1,504.3,75.8,1.6
27145000312,27,145,000312,311.2,421.5,30,10.9,0,366.9,368,25.6,9,0,364,362.7,33.5,0,343.6,349.8,52.3,15.5,0,362.6,338.2,59.1,1.1
27145000315,27,145,000315,294.9,357.2,14.6,7.8,0,329.9,318.4,18.5,7.8,0,333.8,296.1,35.9,0,319.2,273.9,38.9,25.2,0,336.6,276.7,47.6,2.9
27145000317,27,145,000317,354.2,562,37.6,8.9,0,414.6,500.7,32.6,13.8,1,421.5,469,52.4,1,407.7,451.2,58.4,27.7,1,419.5,450.2,79.2,4
27145000320,27,145,000320,360.6,650.6,22.9,5.2,0,419.8,580.8,26.1,12.3,1,421,563.4,41.2,0,422.7,540.5,53.8,11.6,0,437.3,539.1,52.4,1
27145000330,27,145,000330,307.6,441.7,22.2,6,0,361.9,382.5,24.1,8.1,0,371,370.4,26.2,0,353.9,350.3,40.3,16.1,0,379.9,343.4,45.3,3
27145000335,27,145,000335,182,232,23,10,0,209,205,21,9,0,215,200,25,0,201,185,38,15,0,213,185,44,0
27145000340,27,145,000340,204.8,263.7,31,5,0,231.7,226.7,37,8,1,225.7,239.7,33,0,210.8,210.8,50.9,22,0,231.7,213.8,50.9,0
27145000345,27,145,000345,268,784,48,7,3,315,735,34,14,0,313,731,39,0,298,700,56,25,0,316,706,75,2
27145000350,27,145,000350,434,554,25,8,1,482,500,29,7,1,506,461,39,1,491,445,44,22,0,500,455,51,1
27145000355,27,145,000355,873.6,965.7,32.1,11.1,0,1034.4,793,38.1,13,0,1032.4,742.7,64.3,2,1021.2,700.8,72.3,34.2,0,1063.4,695.7,93.3,9
27145000360,27,145,000360,844.1,967.7,35.2,17.2,1,977.8,823.5,41.5,17.3,1,958.7,799.8,66.2,0,948.2,747.2,80.1,39.6,0,997.2,734.9,97.4,1.1
27145000380,27,145,000380,329.6,750.6,34.2,20.9,0,378.2,700,27.3,18,0,402.2,656.9,44.3,0,378.8,629.8,54.5,22.2,0,373.6,657.3,54.8,6.9
27145000385,27,145,000385,720.1,1000.3,55.6,18.9,0,852.6,856.9,63.5,15.9,0,902.1,797.2,75.5,0,818.8,776.3,110.3,42.7,0,871.5,764.4,131.2,3
