GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREACAR,G20PRESLAR,G20USSDDUR,G20USSRCUR,G20USSIWIL,G20USSLMAL,G20USSGBLA
17031820005,17,031,820005,258,307,1,3,1,1,266,260,8,3,6
17031820006,17,031,820006,415,359,5,4,0,0,382,334,54,6,6
17031820007,17,031,820007,906,379,7,6,0,0,889,329,30,10,13
17031820008,17,031,820008,284,94,2,1,0,0,273,94,4,4,2
17031820009,17,031,820009,299,256,2,2,1,0,296,224,28,1,3
17031820010,17,031,820010,603.25,345.95,7.06,4.07,1.01,1,588.15,276.47,46.19,10.12,10.12
17031820011,17,031,820011,289.11,136.17,3.95,0,0,0.99,273.33,141.1,9.87,3.95,3.95
17031820012,17,031,820012,454,195,1,3,0,1,456,148,8,4,7
17031820013,17,031,820013,532,453,8,5,3,0,509,423,30,9,5
17031820014,17,031,820014,732,284,10,2,0,0,740,224,8,5,10
17031820015,17,031,820015,650,315,9,7,1,2,614,262,40,13,13
17031820016,17,031,820016,822,368,3,3,0,0,804,318,28,8,7
17031820017,17,031,820017,736,269,6,1,1,0,718,222,15,5,9
17031820018,17,031,820018,388,116,6,2,0,2,382,99,17,5,7
17031820019,17,031,820019,533,307,12,3,1,0,531,295,9,8,4
17031820020,17,031,820020,499.03,257.98,4.98,1,1.99,1.99,495.04,215.15,10.96,8.96,7.97
17031820021,17,031,820021,912,197,13,5,1,3,883,199,22,8,17
17031820022,17,031,820022,540.71,288.71,3.01,4,0,0,528.69,226.59,21.05,10.04,9.02
17031820023,17,031,820023,622,233,9,2,0,1,610,216,14,4,5
17031820024,17,031,820024,684,362,4,8,2,1,667,263,42,11,15
17031820025,17,031,820025,347,156,6,3,0,0,329,131,19,9,4
17031820026,17,031,820026,617.74,443.52,8.2,8.16,1,0.04,608.55,370.9,28.23,11.29,11.25
17031820027,17,031,820027,599,220,4,6,0,4,576,167,30,6,10
17031820028,17,031,820028,674,154,10,0,0,1,621,197,13,6,4
17031820029,17,031,820029,443,202,3,0,0,1,446,164,13,1,1
17031820030,17,031,820030,465.74,316.44,4,1,0,1,465.74,269.35,14.04,9.01,7.01
17031820031,17,031,820031,611,228,3,11,2,1,589,206,18,6,14
17031820032,17,031,820032,287,107,1,2,0,2,272,89,9,5,7
17031820033,17,031,820033,780,260,4,4,3,0,769,216,32,6,11
17031820034,17,031,820034,551,307,5,8,0,2,553,260,23,7,10
17031820035,17,031,820035,630,288,7,3,2,3,628,249,35,8,11
17031820036,17,031,820036,435,118,1,2,2,1,413,103,14,3,5
17031820037,17,031,820037,593.94,245.15,1.99,1,0,1,587.96,205.29,15.94,13.95,6.98
17031820038,17,031,820038,920.53,542.52,12.02,9.03,5,0,918.41,456.36,45.15,13.04,14.03
17031820039,17,031,820039,676.97,301.02,1.02,6,2.01,0.01,653.96,262.85,20.04,7.04,12.03
17031820040,17,031,820040,240.14,200.43,0.92,0.92,0.92,0,230.91,179.18,17.55,4.62,4.62
17031820041,17,031,820041,690,275,7,7,2,0,655,250,29,9,9
17031820042,17,031,820042,596,269,5,3,0,0,588,212,25,7,8
17031820043,17,031,820043,610,528,7,7,3,1,607,436,43,10,11
17031820044,17,031,820044,707,266,2,1,0,1,710,223,12,3,5
17031820045,17,031,820045,462,149,1,5,2,0,455,137,6,4,7
17031820046,17,031,820046,649,377,3,3,0,0,632,328,21,4,7
17031820047,17,031,820047,356,124,5,2,0,0,330,124,10,3,7
17031820048,17,031,820048,557,284,4,9,0,2,553,227,15,13,11
17031820049,17,031,820049,834,108,3,2,0,0,798,127,15,4,3
17031820050,17,031,820050,622,379,6,4,2,2,601,318,44,12,9
17031820051,17,031,820051,328.69,221.79,0,5,0,0,319.7,185.82,15.98,4,2
17031820052,17,031,820052,442.26,264.56,2,1,0,1,438.26,208.65,20.96,5.99,4.99
17031820053,17,031,820053,853.47,366.48,5.98,7.97,1,1,822.59,328.64,35.85,9.96,6.97
17031820054,17,031,820054,360,174,3,3,1,1,342,153,18,10,6
17031820055,17,031,820055,427,102,2,1,2,1,406,100,11,6,3
17031820056,17,031,820056,690.86,449.57,8.08,4.08,2.08,1,676.09,393.82,39.45,7.38,11.38
17031820057,17,031,820057,642,374,8,11,1,0,632,331,28,9,9
17031820058,17,031,820058,667.75,315.05,6.94,7.93,0.99,0,656.85,263.53,19.81,12.88,12.88
17031820059,17,031,820059,856,404,9,11,2,1,800,386,38,12,14
17031820060,17,031,820060,785,379,5,5,3,0,769,314,24,10,5
17031820061,17,031,820061,801,393,5,5,1,1,793,315,38,11,8
17031820062,17,031,820062,385.35,163.15,4,4,0,1,379.35,139.12,9.01,4.01,7
17031820063,17,031,820063,744,238,15,4,7,1,721,219,26,11,12
17031820064,17,031,820064,768,304,3,3,2,0,751,285,21,4,5
17031830001,17,031,830001,645,504,2,3,1,1,634,438,15,9,9
17031830002,17,031,830002,585,204,9,2,0,0,518,272,5,3,2
17031830003,17,031,830003,439.18,209.37,12.01,2,1.01,1,419.14,224.39,6,7.01,2
17031830004,17,031,830004,492,324,8,5,1,0,451,325,21,7,9
17031830005,17,031,830005,337.7,281.96,7.08,2.02,0,0,320.36,260.88,20.18,6.06,5.06
