GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRHAW,G18USSDMCC,G18USSLCAM,G18USSGCRA,G18USSIODE,G18AUDRMCD,G18AUDDGAL,G18AUDLOTO,G18AUDGFIT,G18AUDCLUE
29189OAK016,29,189,OAK016,176.8,190.33,3.08,1.23,5.13,144.59,215.15,6.97,1.03,5.33
29189OAK017,29,189,OAK017,240.74,198.84,1.56,1.3,4.42,201.18,221.48,6.77,2.08,6.51
29189OAK018,29,189,OAK018,48.23,44.61,0.71,0.94,1.1,40.67,49.41,2.67,0.71,1.02
29189OAK019,29,189,OAK019,884,636.55,5.17,5.94,11.43,736.61,732.41,19.57,8.04,18.96
29189OAK020,29,189,OAK020,357.89,295.6,2.32,1.93,6.58,299.08,329.26,10.06,3.1,9.67
29189OAK021,29,189,OAK021,70.5,56.25,0.82,0.45,1.07,56.75,65.4,1.81,0.64,2.05
29189OAK022,29,189,OAK022,416.06,328.17,5.56,2.22,6.12,339.85,376.01,12.24,3.89,10.57
29189OAK023,29,189,OAK023,277.23,293.94,3.13,3.13,7.31,228.15,327.87,8.88,4.18,5.74
29189OAK024,29,189,OAK024,282.58,231.09,2.47,1.24,4.94,231.5,266.51,6.18,0.82,7
29189OAK025,29,189,OAK025,98.99,91.57,1.45,1.94,2.26,83.49,101.42,5.49,1.45,2.1
29189OAK026,29,189,OAK026,326.37,269.55,2.12,1.76,6,272.74,300.25,9.17,2.82,8.82
29189OAK027,29,189,OAK027,156.73,176.02,3.97,0.86,4.27,125.75,192.82,8.51,2.84,8.22
29189OAK028,29,189,OAK028,73,76,4,2,3,54,92,4,0,4
29189OAK029,29,189,OAK029,34.97,37.08,0.4,0.4,0.92,28.78,41.36,1.12,0.53,0.72
29189QUE001,29,189,QUE001,202.58,339.51,3.75,4.69,3.75,175.37,351.69,13.13,3.75,7.5
29189QUE002,29,189,QUE002,100.6,165.28,2.47,1.68,0.9,85.13,167.52,6.64,2.51,4.25
29189QUE003,29,189,QUE003,37.02,61.25,0.88,0.71,0.53,31.67,62.67,2.43,0.83,1.51
29189QUE004,29,189,QUE004,50.48,62.18,1.34,0.33,2.01,41.79,67.53,2.67,1,1.34
29189QUE005,29,189,QUE005,163,149,1,0,1,135,158,10,4,6
29189QUE006,29,189,QUE006,376,212,2,1,5,306,259,4,4,11
29189QUE007,29,189,QUE007,213,323,5,4,2,184,331,10,6,8
29189QUE008,29,189,QUE008,94.1,124.16,3,1,4,81.09,125.17,7.01,3,4
29189QUE009,29,189,QUE009,133,160,5,2,5,99,183,8,4,4
29189QUE010,29,189,QUE010,178.11,193.38,1.17,1.17,3.13,142.88,206.69,7.83,1.96,5.87
29189QUE011,29,189,QUE011,146.57,167.61,0.77,1.51,7.54,132.15,171.38,5.33,0.76,5.31
29189QUE012,29,189,QUE012,183,190,1,3,5,160,194,7,3,9
29189QUE013,29,189,QUE013,55.86,63.37,0.81,0.15,1.47,47.69,66.24,3.46,0.52,1.69
29189QUE014,29,189,QUE014,24.16,32.04,0.98,0.45,0.98,20.49,34.3,1.5,0.53,1.28
29189QUE015,29,189,QUE015,0,0,0,0,0,0,0,0,0,0
29189QUE016,29,189,QUE016,195.02,234.24,2.51,1.38,5.27,171.2,237.28,9.02,2.13,5.51
29189QUE017,29,189,QUE017,253.27,296.34,5.79,4.5,7.07,231.41,293.13,10.93,8.36,9.64
29189QUE018,29,189,QUE018,229.18,237.71,4.18,4.01,4.26,181.66,261.5,13.19,5.33,11.49
29189QUE019,29,189,QUE019,193,219.27,3.05,1.52,3.43,175.49,225.74,4.19,1.9,7.23
29189QUE020,29,189,QUE020,4.73,5.22,0,0,0.89,5.62,4.34,0.89,0,0
29189QUE021,29,189,QUE021,86.93,109.06,2.11,0.53,0.53,76.92,111.69,3.16,1.05,3.16
29189QUE022,29,189,QUE022,295.15,391.4,11.92,5.5,11.92,250.24,418.89,18.33,6.42,15.58
29189QUE023,29,189,QUE023,287,295,6,2,12,238,325,19,3,11
