GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW
39011006AAV,39,011,006AAV,955.03,215.85,7.96,2.98
39011006AAW,39,011,006AAW,559.04,131.8,10.09,0.01
39011006AAX,39,011,006AAX,250,32,2,2
39011006AAY,39,011,006AAY,538.84,63.47,4.4,0.09
39011006AAZ,39,011,006AAZ,789.1,165.25,7.53,0.94
39011006ABA,39,011,006ABA,714.95,148.43,10.12,0.99
39011006ABB,39,011,006ABB,96.23,22.36,1.03,0
39011006ABC,39,011,006ABC,502,69,5,2
39011006ABD,39,011,006ABD,912.77,146.64,10.97,2
39011006ABF,39,011,006ABF,705.08,124.22,1.67,3
39011006ABG,39,011,006ABG,707.65,105.23,5.45,2.05
39011006ABH,39,011,006ABH,751.23,157.3,9.9,4.94
39011006ABJ,39,011,006ABJ,725.87,243.26,9.81,0.98
39011006ABK,39,011,006ABK,241,31,0,1
39011006ABL,39,011,006ABL,928,162,10,2
39011006ABN,39,011,006ABN,457.64,73.64,8.09,0
39011006ABO,39,011,006ABO,587.36,49.36,6.91,0
39011006ABP,39,011,006ABP,433.85,45.82,3.02,1.05
39011006ABQ,39,011,006ABQ,285.15,73.18,1.98,1.95
39011006ABR,39,011,006ABR,415.39,139.42,5.03,4.01
39013007AAA,39,013,007AAA,393.73,186.61,4.89,0.98
39013007AAB,39,013,007AAB,268,157,2,0
39013007AAE,39,013,007AAE,234.8,161.76,3.02,1.01
39013007AAF,39,013,007AAF,465.73,275.73,12.08,0.01
39013007AAH,39,013,007AAH,397.96,292.62,5.84,0.97
39013007AAJ,39,013,007AAJ,111.56,70.78,4.02,1.98
39013007AAK,39,013,007AAK,242.77,122.37,4.89,0
39013007AAL,39,013,007AAL,338.03,229.61,4.13,1.03
39013007AAN,39,013,007AAN,363,131,3,3
39013007AAO,39,013,007AAO,214.5,118.86,3.71,0.93
39013007AAP,39,013,007AAP,389,185,5,0
39013007AAQ,39,013,007AAQ,231,124,2,2
39013007AAR,39,013,007AAR,224.68,126.99,0,0.89
39013007AAS,39,013,007AAS,209,125,2,1
39013007AAT,39,013,007AAT,251.65,140.02,5.17,4.11
39013007AAU,39,013,007AAU,214,49.54,3.96,0
39013007AAV,39,013,007AAV,192,44,2,1
39013007AAW,39,013,007AAW,510,184,3,2
39013007AAX,39,013,007AAX,292,116.46,2.04,2
39013007AAY,39,013,007AAY,333.36,102.35,1.95,0.97
39013007AAZ,39,013,007AAZ,238.64,99.65,6.05,0.03
39013007ABA,39,013,007ABA,301,118,4,0
39013007ABB,39,013,007ABB,99,32,0,0
39013007ABC,39,013,007ABC,220,71,1,0
39013007ABD,39,013,007ABD,169,62,2,1
39013007ABE,39,013,007ABE,448,122,10,0
39013007ABF,39,013,007ABF,663,133,8,3
39013007ABG,39,013,007ABG,160,34,0,0
39013007ABH,39,013,007ABH,402,212,5,1
39013007ABI,39,013,007ABI,470,261,2,4
39013007ABL,39,013,007ABL,345.48,191.6,3.97,1.99
39013007ABN,39,013,007ABN,577.74,171.96,4.02,3.01
39013007ABP,39,013,007ABP,303.78,103.43,5.01,1
39013007ABQ,39,013,007ABQ,257.99,131.18,3.27,0.36
39013007ABS,39,013,007ABS,210.01,101.82,2.73,3.64
39013007ABU,39,013,007ABU,201,108,2,2
39013007ABV,39,013,007ABV,421.41,233.54,9.05,4
39013007ABW,39,013,007ABW,367.59,140.46,11.95,1
39013007ABX,39,013,007ABX,145.57,59.17,0,0
39013007ABY,39,013,007ABY,129,69,4,0
39013007ABZ,39,013,007ABZ,336.38,107.72,3.03,0.01
39013007ACD,39,013,007ACD,157,56,0,1
39013007ACE,39,013,007ACE,600.77,210.22,6.49,4.15
39013007ACF,39,013,007ACF,439.54,185.32,3.88,1.94
39013007ACH,39,013,007ACH,439.16,179.09,6.72,1.92
39013007ACJ,39,013,007ACJ,414.63,137.28,2.03,0.05
39013007ACK,39,013,007ACK,439.71,148.7,2.8,1.84
39013007ACL,39,013,007ACL,321,151,8,1
39013007ACM,39,013,007ACM,508,140,7,1
39013007ACN,39,013,007ACN,514.62,166.54,2.98,2.1
39013007ACO,39,013,007ACO,592.2,214.61,3.31,2.09
39013007ACP,39,013,007ACP,305,84,4,2
39013007ACQ,39,013,007ACQ,672,129,10,1
39013007ACS,39,013,007ACS,319.33,66.72,1.04,0
39013007ACT,39,013,007ACT,152.67,32.28,0.96,0
39013007ACU,39,013,007ACU,100.73,34.2,0.01,1
39013007ACV,39,013,007ACV,258,67,3,0
39013007ACW,39,013,007ACW,672.27,183.8,5.99,2
39013007ACX,39,013,007ACX,623,226,8,4
39013007ACZ,39,013,007ACZ,350,139,6,2
39013007ADB,39,013,007ADB,818,238,3,3
39013007ADD,39,013,007ADD,200,59,1,1
39013007ADE,39,013,007ADE,293,80,5,1
39013007ADF,39,013,007ADF,354.21,111.76,5.23,1.02
39013007ADH,39,013,007ADH,365.79,89.24,11.77,0.98
39013007ADI,39,013,007ADI,456.47,196.6,3.89,5.84
39013007ADK,39,013,007ADK,378.78,107.64,2.09,1.14
39013007ADL,39,013,007ADL,52,20,0,1
39013007ADW,39,013,007ADW,94,72,2,1
39013007ADX,39,013,007ADX,323,106,7,3
39015008AAA,39,015,008AAA,292,79,1,0
39015008AAF,39,015,008AAF,725,178,6,3
39015008AAG,39,015,008AAG,298,74,0,1
39015008AAH,39,015,008AAH,396.7,75.75,1.99,1.99
39015008AAJ,39,015,008AAJ,939.23,244.08,6.02,1.01
39015008AAK,39,015,008AAK,494.21,128.92,5.97,2.93
39015008AAM,39,015,008AAM,394.97,85.04,8.22,0.12
39015008AAV,39,015,008AAV,491.57,163.31,4.01,1
39015008AAW,39,015,008AAW,485,111,5,1
39015008AAY,39,015,008AAY,554.81,108.59,4.94,0.99
39015008ABI,39,015,008ABI,365.07,149.29,8.02,2.01
39015008ABP,39,015,008ABP,340.59,83.97,6.82,2.92
39015008ACD,39,015,008ACD,540.91,114.88,6.08,1.08
39015008ACE,39,015,008ACE,539.09,120.12,1.92,1.92
39015008ACF,39,015,008ACF,535,98,8,2
39015008ACG,39,015,008ACG,552.66,145.87,6.01,3.97
39015008ACH,39,015,008ACH,743.96,207.71,4.99,2
39015008ACI,39,015,008ACI,524.04,150.29,7.01,0
39015008ACJ,39,015,008ACJ,646.46,168.99,6.83,1.03
39015008ACK,39,015,008ACK,314.35,65.86,3.72,0.34
39015008ACL,39,015,008ACL,490,135,8,0
39015008ACM,39,015,008ACM,527.87,134.69,2.01,1
39015008ACN,39,015,008ACN,493,115,4,0
39015008ACO,39,015,008ACO,453.13,191.04,7,3
39015008ACP,39,015,008ACP,509.57,153.07,10.11,4.07
39015008ACQ,39,015,008ACQ,510.82,140.04,7.39,4.57
39015008ACR,39,015,008ACR,540.91,102.23,3.97,0.99
39015008ACS,39,015,008ACS,728.98,165,12,4
39015008ACT,39,015,008ACT,644.42,151.09,7.98,2.03
39015008ACU,39,015,008ACU,470.95,223.93,5.94,0.99
39015008ACV,39,015,008ACV,387.91,161.46,3.83,0.95
39015008ACW,39,015,008ACW,544.41,154.03,7.18,2.08
39017009AAB,39,017,009AAB,385.4,406.44,6.05,1.03
39017009AAC,39,017,009AAC,422.38,213.55,6.61,0.94
39017009AAD,39,017,009AAD,213,318,3,4
39017009AAE,39,017,009AAE,169,272,5,3
39017009AAF,39,017,009AAF,213,482,8,2
39017009AAG,39,017,009AAG,284,267,3,3
39017009AAH,39,017,009AAH,147.27,237.21,4.94,2.97
39017009AAI,39,017,009AAI,216,203,6,2
39017009AAK,39,017,009AAK,208,380,8,5
39017009AAL,39,017,009AAL,418.73,190.88,10.99,2
39017009AAM,39,017,009AAM,352,181,6,0
39017009AAN,39,017,009AAN,319.54,255,0.19,2.06
39017009AAO,39,017,009AAO,160.66,223.36,7.07,1.01
39017009AAP,39,017,009AAP,344,171,5,6
39017009AAQ,39,017,009AAQ,350,224,7,2
39017009AAR,39,017,009AAR,209.47,321.43,5.42,1.81
39017009AAS,39,017,009AAS,81.71,153.3,2.19,1.14
39017009AAT,39,017,009AAT,322,183,10,3
39017009AAU,39,017,009AAU,312,299,9,2
39017009AAV,39,017,009AAV,322,215,12,0
39017009AAW,39,017,009AAW,287.79,200.7,8.52,1.89
39017009AAX,39,017,009AAX,379.21,270.3,16.48,2.11
39017009AAY,39,017,009AAY,304,256,4,2
39017009AAZ,39,017,009AAZ,353,246,9,2
39017009ABA,39,017,009ABA,282,185,11,4
39017009ABC,39,017,009ABC,299.79,238.85,5.9,1.97
39017009ABD,39,017,009ABD,410.87,206.43,6.06,2.01
39017009ABH,39,017,009ABH,501.46,315,9.81,2.94
