GEOID20,STATEFP,COUNTYFP,DISTRICT,G18SOSRARD,G18SOSREDM,G18SOSRSTO,G18SOSRKEN,G18SOSRCRO,G18SOSRCLO,G18SOSDCOL,G18SOSDFRE,G18SOSNMOR,R18SOSRARD,R18SOSDCOL
22111000014,22,111,000014,14,6,3,19,6,4,103,55,1,5,81
22111000015,22,111,000015,35,25,6,14,1,5,20,11,0,31,11
22111000016,22,111,000016,71.49,38.73,17.87,50.64,10.92,20.85,36.74,13.9,4.96,43.69,23.83
22111000017,22,111,000017,94.53,36.82,10.95,69.65,15.92,26.87,7.96,20.9,0,63.68,7.96
22111000018,22,111,000018,126.15,72.71,22.69,78.88,11.21,23.49,7.38,15.15,1.04,52.9,0.07
22111000019,22,111,000019,83,49,24,71,3,33,19,14,1,43,8
22111000020,22,111,000020,93,58,20,67,4,21,8,9,5,84,3
22111000022,22,111,000022,149,78,30,79,21,30,11,15,5,110,13
22111000023,22,111,000023,100,60,42,93,17,17,7,15,3,98,17
22111000024,22,111,000024,89.62,49.36,25.21,45.29,11.08,12.08,60.04,53.03,3.02,80.81,13.06
22111000026,22,111,000026,51,29,23,45,16,24,65,58,7,52,28
