state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_kai,uss_18_rep_ste,uss_20_dem_war,uss_20_rep_gad,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
51,013,021,5059,3377,590,391,13,539,1,7,141,4678,3145,562,350,12,498,1,7,103,2602.9,626,3591.2,714.9,2498.1,542.6,3465.7,878,2602.9,2498.1,3528.4,626,542.6,796.3
51,013,022,3738,2900,198,357,2,165,0,13,103,3292,2631,175,281,1,137,0,8,59,2015.9,352.1,2328,516.1,1976.2,349.9,2207.9,645.1,2015.9,1976.2,2267.9,352.1,349.9,580.6
51,013,023,2947,2047,165,415,6,214,1,5,94,2304,1642,123,309,6,173,1,2,48,1437.2,306.2,1868.2,395,1297.6,230.4,1823.2,464.7,1437.2,1297.6,1845.8,306.2,230.4,429.8
51,013,024,5228,3286,589,758,8,441,2,13,131,4095,2656,475,549,8,331,2,5,69,2260,455.9,2046.9,462.3,2228.9,365,2002,538.7,2260,2228.9,2023.7,455.9,365,500.5
51,013,025,3420,2335,175,532,10,248,11,9,100,2826,1954,154,429,8,212,9,3,57,1507.2,377.8,2270.6,408.1,1705.6000000000001,355.7,2231.9,484,1507.2,1705.6000000000001,2250.9,377.8,355.7,446
51,013,026,5109,2655,831,916,13,522,6,20,146,4376,2403,684,715,8,444,3,9,110,2683.3,480,2813.6,514.3,2396.7999999999997,369.59999999999997,2846.8,575.1,2683.3,2396.7999999999997,2830.2,480,369.59999999999997,544.9
51,013,027,4429,2569,242,1028,9,441,7,16,117,3593,2164,211,769,7,363,6,11,62,1832.8,475.09999999999997,2325,449.3,1956.2,342.9,2290.1,524,1832.8,1956.2,2308.1,475.09999999999997,342.9,486.6
51,013,028,5801,2409,837,1782,17,601,1,21,133,4696,2080,671,1352,14,488,1,14,76,2466.9,417.1,3245.2,518.9,2083,289.9,3252,593,2466.9,2083,3248.4,417.1,289.9,556.2
51,013,029,3565,2932,35,252,3,229,0,14,100,2609,2190,29,173,1,177,0,5,34,1711,361.1,1866.2,395.6,1769.6,321,1834.3,493.3,1711,1769.6,1850.2,361.1,321,444.7
51,013,030,4929,1401,1667,1380,10,318,3,31,119,3953,1244,1331,1005,9,259,3,19,83,2404.4,325,3678.9,423.9,2163.9,258.5,3715,442.8,2404.4,2163.9,3697.1,325,258.5,433.2
