state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_car,uss_18_rep_arl,uss_20_dem_coo,uss_20_rep_wit,gov_16_dem_car,gov_16_rep_bon,gov_20_dem_car,gov_20_rep_mur,atg_18_dem_jen,atg_18_rep_pep,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
10,003,5-13,2877,1766,249,775,4,28,0,4,51,2190,1472,173,493,4,21,0,4,23,597.6,345.4,741.3,358.5,488.2,199.7,711,310.6,622.2,272.8,701.7,319,489.1,210.6,609.8,488.7,718,309.5,205.3,329.7,621.9,287.7
10,003,5-15,2647,1939,431,166,7,51,0,1,52,2083,1593,315,104,5,39,0,0,27,767.4,579.1999999999999,983.7,572.9,649,376.6,980,524.9,787.9,523.9,987.1,521.9,648.1,390.4,777.7,648.5,983.2,551.3,383.4,540.1,829.3,498.6
10,003,5-16,2561,283,1714,500,2,3,0,2,57,1880,224,1316,315,2,2,0,1,20,1164.6,74.4,1218,92.4,893.6,46.2,1141.6,78.3,1094.3,58.5,1144,79.2,773.1999999999999,154,1129.5,833.5,1167.7,66.1,100.2,83.5,1061.5,83
10,003,5-17,1442,1023,187,198,9,7,1,2,15,1140,848,127,143,6,6,1,1,8,406.6,273.9,509,272.4,382.40000000000003,170.1,500.8,239.2,461.09999999999997,227.3,504.9,242.6,385.6,176.3,433.8,383.9,505,250.5,172.9,251.4,450,228.7
10,003,5-18,1517,811,382,220,5,46,0,1,52,1136,656,266,146,4,34,0,0,30,434.7,239.9,510,246.1,386.1,146.9,495.2,219.7,445.8,196.3,499.5,218.5,385.59999999999997,160.7,440.1,385.8,501.8,218,153.7,228.1,451.2,203.8
10,003,5-19,2611,1578,191,744,6,58,0,0,34,1943,1292,128,463,3,44,0,0,13,503,440.4,632.7,452.8,452.2,281,646.1,394.6,572.6,342.2,641.3,412.3,473.09999999999997,264.6,537.8,462.40000000000003,640,391.1,272.9,419.9,560.3,369.7
10,003,5-2,2116,439,963,633,1,12,1,5,62,1449,388,636,382,0,12,1,4,26,611.2,72.1,589.1,70.8,443.3,45.6,546.4,56.9,570,60.3,559.2,62.5,416.4,84.3,590.7,430.4,564.9,66.3,64.6,63.1,533.5,64.8
10,003,5-20,660,578,12,57,0,5,0,0,8,528,478,6,38,0,2,0,0,4,185.2,143.1,219.6,139.5,168.8,88.9,219.6,131,208.1,116,220.5,135.2,177.9,84.9,196.79999999999998,173.5,219.79999999999998,129.79999999999998,87,135.2,200,119.8
10,003,5-21,1053,975,23,21,0,20,0,1,13,831,773,23,14,0,14,0,1,6,332.5,291.4,387.2,277.7,324.5,222.20000000000002,406.8,249.29999999999998,354.4,268.2,399.7,258.7,336,210.3,343.3,330.3,398,280,216.2,261.9,363.1,254.1
10,003,5-22,1807,1512,60,51,1,160,0,6,17,1320,1130,37,32,1,115,0,3,2,571.1999999999999,555.5,700.8000000000001,545.3,583,433.8,721.9,503.2,603.1999999999999,548,702.7,530,579.6,440.6,587.1,581.1,708.6,551.6,437.09999999999997,526.2,637.5,508
