state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_18_rep_fis,uss_18_dem_ray,uss_20_rep_sas,uss_20_dem_jan,gov_18_rep_ric,gov_18_dem_kri,atg_18_rep_pet,sos_18_rep_evn,sos_18_dem_dan,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
31,055,231P,1157,973,14,145,2,4,1,0,18,890,777,11,88,2,4,1,0,7,212.1,265,206,346,160.7,255.7,221.4,208.6,166.6,273,271.8,162.3,261.4,265,263.2,277.7,212.1,190.1,214.2,267.8,200.4
31,055,232P,1491,848,22,559,11,8,6,0,37,1074,714,13,310,10,6,3,0,18,145.9,196.4,170.9,255.3,119.5,156.9,174.8,181.8,119.9,168,195.4,118.3,168.20000000000002,196.4,164.3,218.1,145.9,138.3,172.8,187.70000000000002,149.4
31,055,233P,2571,942,59,1490,36,11,0,3,30,1698,772,38,847,21,11,0,3,6,213.1,349.4,233.4,433.5,168.9,293.7,251,299.8,170.4,314.8,308.5,164.9,312.1,349.4,306.7,366.4,213.1,203,242.1,333.7,216
31,055,234P,2014,549,39,1372,22,6,2,9,15,1307,450,23,804,16,5,0,5,4,98.60000000000001,258.8,115.2,310.2,71.4,205.6,115.4,242.9,79.9,212.4,172.9,72.6,216.8,258.8,211.7,276.2,98.60000000000001,99.2,115.3,241.2,103.7
31,055,235P,2062,1315,36,632,10,15,1,8,45,1445,1016,23,366,8,12,0,2,18,217.1,302.4,234.7,367.09999999999997,175.2,249.20000000000002,270.7,231.9,181.5,267.3,290.5,174.7,267.7,302.4,261.6,299.3,217.1,205.6,252.7,281.1,220.4
31,055,237P,1666,646,18,964,6,9,0,3,20,1143,541,12,570,4,7,0,1,8,110.3,199.3,125.3,243.9,82.9,168.9,124.6,185.5,91.4,173.6,173.6,80.5,179.8,199.3,173.6,214.8,110.3,107.2,124.9,192.1,112.8
31,055,238P,2778,1021,134,1542,16,11,1,7,46,1893,836,102,908,12,9,1,3,22,154.3,358.7,176.4,420.7,124.1,287.9,199.3,307.4,122.8,310.6,267.1,115.3,311.9,358.7,303.3,363.7,154.3,157.1,187.9,332.9,165.8
31,055,239P,1294,1019,41,205,6,9,0,0,14,1007,855,18,117,3,8,0,0,6,287.4,276.5,282.2,352.2,239.2,263.6,314.5,227.9,241.9,281,358.3,234.5,268.2,276.5,271.1,290.3,287.4,268.3,298.9,278.5,279.8
31,055,242P,3217,920,79,2123,46,9,2,9,29,2095,763,48,1221,34,9,2,3,15,169.6,353.4,192.1,421.1,137.7,279.2,204.4,326.8,146.7,292.5,268.3,138.2,296.7,353.4,289.7,373.8,169.6,172.6,198.6,328.5,179.7
31,055,243P,996,750,73,145,6,3,1,3,15,813,645,58,96,3,3,1,3,4,159.4,171.4,178.7,214.1,134,150.4,193.1,152.2,134.5,161.7,205.9,134.4,152.8,171.4,154.79999999999998,183,159.4,152.1,185.8,167.4,162.8
31,055,245P,1480,1018,23,375,9,28,0,3,24,1100,824,20,214,6,22,0,1,13,252.6,242.1,258.6,295.3,194.1,204.6,279.1,209.1,201,209.29999999999998,292.2,185.8,214.8,242.1,209.5,252,252.6,218.5,268.6,229.4,237.6
31,055,247P,1371,905,27,416,6,4,0,1,12,1024,756,19,236,5,2,0,1,5,194.6,220.1,218.5,281.8,139,186.2,244.4,200.4,146.4,192,239.70000000000002,141.5,191.3,220.1,190.2,240.7,194.6,166.8,231.7,211.8,189.2
31,055,248P,2793,1411,208,873,33,176,4,9,79,2233,1304,179,540,22,138,1,6,43,219.3,598,264.4,889.2,198.3,628.4,344.4,508.6,190.2,668,446.9,192.2,643.9,598,646.9,699.1,219.3,256.9,304.2,655.8,265.2
31,055,249P,1741,971,39,709,6,5,0,0,11,1236,808,18,393,6,4,0,0,7,247.2,283.8,265.3,333.9,208.3,230.8,291.8,229.79999999999998,216.7,235,321.7,195.1,247.2,283.8,237.6,281.9,247.2,235.5,278.2,260.1,249.7
31,055,250P,2171,676,343,1038,10,25,0,24,55,1531,602,242,615,9,23,0,9,31,126.7,338.2,130.9,404.7,91.9,262.9,154.7,278.5,98.5,272.7,199.6,95.10000000000001,267.9,338.2,268.3,342,126.7,121.1,142.9,303.9,127.89999999999999
31,055,252P,1797,1575,36,125,12,19,3,2,25,1508,1356,25,84,7,18,3,1,14,275.5,582.2,293.8,754.3,258.3,563.9,360.8,378.9,265.9,589.6,480.7,267,558.6,582.2,570.3,566.4,275.5,318.2,327.2,570.9,314.9
