state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_16_dem_cor,uss_16_rep_hec,uss_18_dem_ros,uss_18_rep_hel,gov_18_dem_sis,gov_18_rep_lax,atg_18_dem_for,atg_18_rep_dun,sos_18_dem_ara,sos_18_rep_ceg,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
32,003,1316,3325,1339,263,489,9,1029,42,2,152,2442,1082,170,302,8,774,28,1,77,1218.3,793,2127.1,1515,1121.2,743,1184.8,656.1,1188.3,636.2,1147.8,654,1124.8,702.9,1169.6,1161.6,2127.1,768,662.5,1515
32,003,1317,2217,794,256,423,24,607,17,0,96,1626,653,168,262,15,469,10,0,49,492.2,244.9,784.2,463.2,444.40000000000003,235.4,476.90000000000003,184.2,468.7,192.9,463.59999999999997,196.4,452.7,207,468.2,465.4,784.2,240.29999999999998,195.1,463.2
32,003,1318,2799,1044,248,526,8,834,8,5,126,2006,818,170,329,4,616,7,2,60,620.9,304,855.9,453.9,572,291.8,585.8,199.2,579,205.3,554.1,208.8,554.1,228.8,596.4,568.2,855.9,298,210.7,453.9
32,003,1319,2096,766,243,430,6,535,9,2,105,1576,638,166,279,6,425,5,1,56,485.3,407.9,727.9,569.1,466.4,392.7,458.3,333.6,437.8,337.40000000000003,438.2,332.2,429.09999999999997,353,475.7,441.2,727.9,400.1,339,569.1
32,003,1321,2353,1616,99,342,13,181,20,8,74,1901,1337,86,255,8,151,14,5,45,497.1,688.6999999999999,628.3,814.6,493.8,643.5,447.5,575.8,434,571.8,419.3,584.4,424.8,596.4,496.3,431.3,628.3,666.4,582.7,814.6
32,003,1322,1660,1155,40,248,1,145,16,2,53,1325,962,35,158,1,127,11,2,29,370.2,413.9,437.4,489.5,382.5,405.2,363.3,369.5,363.3,356.4,332.8,369.5,326.7,396.7,376.3,346.6,437.4,409.6,373.2,489.5
32,003,1323,1773,1207,75,286,3,124,29,0,49,1443,1017,63,194,3,112,19,0,35,402.2,483.1,475.5,563.6999999999999,410.1,443.5,386.8,362.2,384.8,369.2,364.8,374,361.7,399.40000000000003,406.1,374.6,475.5,463.2,376.2,563.6999999999999
32,003,1324,3090,1809,186,616,12,339,17,4,107,2486,1539,163,412,7,280,15,4,66,706.7,681.1,910.6,802.5,693.6999999999999,667.8,704.7,540.3000000000001,686.6,540.3,638.2,576.2,625.2,597.5,699.6,663.9,910.6,674.5,563.7,802.5
32,003,1325,1924,1197,84,407,9,147,18,3,59,1532,1006,64,283,9,125,12,1,32,394.5,465.3,441.2,551.5,392.4,432.7,346.6,381.6,351.9,373.90000000000003,340.2,380.2,331.6,404.3,393.4,342.6,441.2,449,385,551.5
32,003,1327,4119,1699,333,871,16,1022,16,20,142,3172,1397,234,586,13,832,14,14,82,744.8,414.9,1051.2,618.1,727,393.2,670.1,268.7,673.8000000000001,270,647.1,279.9,653.8,290.8,735.7,661.3,1051.2,404,277.1,618.1
