GEOID20,state,county,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_rin,uss_18_rep_bra,gov_18_dem_mil,gov_18_rep_moo,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_gid,uss_20_rep_col,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
230010105001010,ME,Androscoggin County,29,5,21,0,0,0,0,0,3,28,5,20,0,0,0,0,0,3,5,6,1,4,4,4,7,6,5,7,6,5,4,2.5,6.5,6,5.4,4.4
230010105001011,ME,Androscoggin County,55,0,55,0,0,0,0,0,0,37,0,37,0,0,0,0,0,0,27,29,4,20,22,22,32,29,25,33,29,27,21,13,31,28.5,26.6,22
230010105001012,ME,Androscoggin County,14,0,12,0,1,0,0,0,1,13,0,11,0,1,0,0,0,1,9,10,1,7,7,7,11,10,9,11,10,9,7,4,10.5,10,9,7.4
230010105001013,ME,Androscoggin County,20,1,18,0,0,1,0,0,0,18,1,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010105001014,ME,Androscoggin County,53,0,53,0,0,0,0,0,0,39,0,39,0,0,0,0,0,0,28,30,4,21,23,23,34,30,27,35,30,28,22,13.5,32.5,30.5,27.8,23.2
230010105001015,ME,Androscoggin County,62,0,57,3,0,0,0,0,2,45,0,42,1,0,0,0,0,2,3,3,1,2,3,3,4,4,3,4,3,3,2.5,2,4,3.5,3.2,2.8
230010105001016,ME,Androscoggin County,28,1,25,0,0,0,0,0,2,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010105001017,ME,Androscoggin County,64,3,59,0,0,0,0,0,2,46,1,44,0,0,0,0,0,1,16,17,3,12,13,13,19,17,15,20,17,16,12.5,8,18.5,17,15.8,13.2
230010105001018,ME,Androscoggin County,30,0,20,0,0,0,0,0,10,20,0,17,0,0,0,0,0,3,9,10,1,7,8,8,11,10,9,12,10,9,7.5,4.5,11,10,9.4,7.6
230010105001019,ME,Androscoggin County,26,0,26,0,0,0,0,0,0,23,0,23,0,0,0,0,0,0,16,17,3,12,13,13,20,18,15,20,17,16,12.5,8,19,17.5,16,13.4
230010105001020,ME,Androscoggin County,110,10,98,0,0,0,0,0,2,90,6,82,0,0,0,0,0,2,6,7,1,5,5,5,7,7,6,8,7,6,5,3,7.5,6.5,6.4,5
230010105002000,ME,Androscoggin County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010105002001,ME,Androscoggin County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,2,13,14,14,30,28,24,33,17,15,13.5,8,30.5,27,21,17
230010105002002,ME,Androscoggin County,135,2,125,0,0,0,0,0,8,131,1,122,0,0,0,0,0,8,7,8,1,5,6,6,9,8,7,9,8,7,5.5,3.5,8.5,8,7.2,6
