GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_wic,uss_18_dem_bar,uss_r18_rep_hyd,uss_r18_dem_esp,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_hyd,uss_20_dem_esp,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
28007000502,MS,Attala County,000502,477,6,351,98,1,3,0,2,16,375,4,280,79,1,1,0,2,8,169.1,69.7,137.3,44.8,130.3,56.8,196.9,83.8,185.8,88.8,169.1,69.7,137.3,44.8,191.3,86.3,163.9,68.8
28007000503,MS,Attala County,000503,473,8,402,47,4,0,0,1,11,399,7,340,41,4,0,0,1,6,243.9,21.3,171.7,13.2,168.7,17.2,246.1,31.2,232.2,35.2,243.9,21.3,171.7,13.2,239.2,33.2,212.5,23.6
28007000504,MS,Attala County,000504,1631,61,1030,459,3,29,0,2,47,1177,33,805,287,2,24,0,2,24,542.8,124,428.6,99.6,389.5,136.7,571.1,183.5,539.9,207.9,542.8,124,428.6,99.6,555.5,195.7,494.4,150.3
28007000505,MS,Attala County,000505,634,11,402,202,3,3,0,1,12,472,9,319,132,3,1,0,0,8,227.9,101.3,172.1,68.7,161.1,86.6,238.4,104.8,218.4,130.5,227.9,101.3,172.1,68.7,228.4,117.6,203.6,98.4
28009000101,MS,Benton County,000101,1506,66,438,945,0,1,0,10,46,1226,50,369,766,0,1,0,5,35,186,594,150,387,115,420,245,595,220,617,186,594,150,387,232.5,606,183.2,522.6
28009000102,MS,Benton County,000102,1512,20,640,778,2,0,0,5,67,1217,12,534,625,2,0,0,0,44,298.6,474.4,230.7,287.7,193.8,335.6,386.6,423.5,343.6,467.4,298.6,474.4,230.7,287.7,365.1,445.5,290.7,397.7
28009000103,MS,Benton County,000103,1613,27,998,527,1,0,0,8,52,1280,14,841,392,1,0,0,1,31,469.4,366.6,353.3,230.3,282.2,246.4,506.4,353.5,451.4,397.6,469.4,366.6,353.3,230.3,478.9,375.5,412.5,318.9
28009000104,MS,Benton County,000104,1400,17,1152,178,2,0,0,9,42,1103,14,928,130,2,0,0,4,25,573,179,421,116,362,141,606,193,562,229,573,179,421,116,584,211,504.8,171.6
28009000105,MS,Benton County,000105,1615,15,1337,226,1,0,0,6,30,1252,11,1051,163,1,0,0,6,20,724,105,490,70,434,81,826,114,743,157,724,105,490,70,784.5,135.5,643.4,105.4
28011000101,MS,Bolivar County,000101,549,24,178,330,0,1,0,0,16,442,13,159,256,0,1,0,0,13,74,203,72,122,56,149,92,170,79,184,74,203,72,122,85.5,177,74.6,165.6
28011000102,MS,Bolivar County,000102,399,6,69,311,1,0,0,0,12,308,3,65,231,1,0,0,0,8,67.5,222.6,62.6,164.8,45.3,213,57.8,224.6,54,237.1,67.5,222.6,62.6,164.8,55.9,230.8,57.4,212.4
28011000103,MS,Bolivar County,000103,1120,112,360,622,2,7,0,0,17,1021,106,328,565,2,7,0,0,13,64.2,227.4,52.9,161.3,33.8,181.4,66.1,228.4,55,243.5,64.2,227.4,52.9,161.3,60.5,235.9,54.4,208.4
28011000104,MS,Bolivar County,000104,592,9,168,407,1,0,0,0,7,461,8,156,289,1,0,0,0,7,79.6,233,66.8,118,58,171.1,81.6,185.8,81.6,191.7,79.6,233,66.8,118,81.6,188.8,73.5,179.9
28011000105,MS,Bolivar County,000105,212,6,105,99,2,0,0,0,0,156,6,74,75,1,0,0,0,0,73.3,80.9,62.1,52,59.9,65.8,81.3,68.1,79.3,69.2,73.3,80.9,62.1,52,80.3,68.6,71.2,67.2
28011000106,MS,Bolivar County,000106,87,0,62,24,0,1,0,0,0,69,0,52,16,0,1,0,0,0,32,4,28,3,25,6,30,3,26,9,32,4,28,3,28,6,28.2,5
28011000107,MS,Bolivar County,000107,1268,21,99,1125,0,1,0,1,21,929,13,83,820,0,1,0,1,11,35.5,500.4,42.4,303.2,24.7,388,40.2,489.4,32,506.9,35.5,500.4,42.4,303.2,36.1,498.2,35,437.6
28011000108,MS,Bolivar County,000108,461,5,32,414,0,1,0,1,8,369,5,30,329,0,1,0,1,3,9.4,204.4,14,147.3,8.9,170.6,13.3,198,10.3,203.1,9.4,204.4,14,147.3,11.8,200.5,11.2,184.7
28011000109,MS,Bolivar County,000109,291,6,35,238,2,4,0,0,6,213,4,25,176,1,4,0,0,3,19,154,25,97,16,129,26,145,25,146,19,154,25,97,25.5,145.5,22.2,134.2
28011000110,MS,Bolivar County,000110,162,7,111,37,0,0,0,0,7,134,5,95,27,0,0,0,0,7,60.6,21.2,47.1,15.4,37.5,21.2,52.9,21.2,50,24.1,60.6,21.2,47.1,15.4,51.5,22.6,49.7,20.6
28011000201,MS,Bolivar County,000201,637,5,3,619,0,0,0,3,7,473,3,2,461,0,0,0,0,7,2.4,254.4,7.9,180.1,0,211.8,8.5,255.6,1.8,266.5,2.4,254.4,7.9,180.1,5.2,261,4.1,233.7
28011000202,MS,Bolivar County,000202,1859,57,1475,226,4,63,0,1,33,1477,47,1175,178,4,52,0,0,21,594.6,101.6,523.4,92,470.5,92,653.6,125.9,632.8,144.1,594.6,101.6,523.4,92,643.2,135,575,111.1
