GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_new,uss_18_dem_klo,gov_18_rep_joh,gov_18_dem_wal,atg_18_rep_war,atg_18_dem_ell,sos_18_rep_how,sos_18_dem_sim,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_smi,uss_20_rep_lew,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
27003001615,MN,Anoka County,001615,3266,305,1602,924,17,240,2,23,153,2444,183,1389,576,11,180,2,16,87,388,741,256,817,314,746,333,698,296,750,1088,443,952,399,388,741,299.8,752.8,421,1020,347,827.4
27003001620,MN,Anoka County,001620,2444,310,1277,511,34,143,0,8,161,1819,195,1111,308,22,100,0,8,75,318.5,570.1,231.1,627.3,272.1,600.4,288.1,545.1,270.2,580.6,744.1,358.7,635.7,355.5,318.5,570.1,265.4,588.4,357.1,689.9,299.2,614.8
27003001705,MN,Anoka County,001705,2884,898,1221,359,47,227,1,21,110,2037,538,1023,221,23,148,1,11,72,386.5,573.9,263.6,598.9,306.2,555.2,331.4,508.6,312.6,546,752.4,417.6,649.8,364.8,386.5,573.9,303.5,552.2,391.2,701.1,340.4,597.8
27003001710,MN,Anoka County,001710,2218,153,1168,657,16,105,0,9,110,1614,90,987,379,9,77,0,6,66,258.8,481.6,169.5,483.4,195.7,460.8,208.3,419.4,195.7,455.4,590.7,275.1,527.6,246.2,258.8,481.6,192.3,454.7,260.6,559.1,221.3,488.4
27003001715,MN,Anoka County,001715,2569,173,1772,253,18,219,0,11,123,2032,95,1514,150,16,169,0,11,77,537.4,823.2,385.2,922.1,452.5,841.8,494.4,751.4,469.4,807.4,1062.3,514.8,939.6,505,537.4,823.2,450.3,830.7,509.9,1000.9,479.8,878.3
27003001720,MN,Anoka County,001720,2225,99,1580,258,5,154,0,9,120,1887,72,1423,180,5,117,0,9,81,477,752,360,819,414,759,449,689,436,722,936,486,834,503,477,752,414.8,747.2,494.5,885,446.4,787.3
27003001805,MN,Anoka County,001805,2547,192,1492,548,12,163,0,9,131,1939,117,1264,359,12,117,0,6,64,436.7,613.3,271.2,605.3,302.5,575,326.2,528.3,302.4,552.4,790.3,431.6,670.2,384,436.7,613.3,300.6,565.3,407.8,730.2,350.7,619.2
27003001810,MN,Anoka County,001810,2707,221,1753,323,13,180,0,20,197,2170,151,1525,238,7,135,0,14,100,558.1,778.6,416.1,838.2,489.6,762.7,512.4,721,489.6,765.7,943.4,571,828.2,542.2,558.1,778.6,476.9,771.9,556.6,885.8,511.3,805.4
27003001815,MN,Anoka County,001815,2126,170,957,649,22,169,2,12,145,1649,111,836,456,19,140,2,10,75,256.7,513.7,140.5,475.7,160.6,452.5,176.2,419.6,165.4,451.1,645.8,238.9,532.6,211.1,256.7,513.7,160.7,449.7,225,589.2,192.8,498.7
27003001820,MN,Anoka County,001820,2212,294,1207,372,20,146,0,21,152,1764,195,1069,271,17,112,0,13,87,321.3,542.6,218.6,564.7,252.6,524.4,267.4,479.4,247.5,499.4,700.6,384,601,343.7,321.3,542.6,246.5,517,363.9,650.8,290.7,558.9
27003001905,MN,Anoka County,001905,2484,106,2133,13,11,106,0,13,102,1871,53,1670,6,8,66,0,11,57,766.8,390.9,565.8,460.9,630.8,391.9,645.8,331.9,635.8,366.9,530.8,886.7,469.9,800.8,766.8,390.9,619.6,387.9,843.7,500.3,704.6,420.4
