GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCli,G16PRERTru,G16PREGSte,G16PRELJoh,G16PREOth
26033033014,26,033,033014,633.99,880.15,21.09,81.07,9.04
26033033015,26,033,033015,529.82,1047,19.87,57.5,11.6
26033033016,26,033,033016,178.18,262.23,7.01,8.02,1
26033033017,26,033,033017,202.41,290.91,9.75,16.5,3.75
26033033018,26,033,033018,66,135,2,7,0
26033033019,26,033,033019,108.73,266.87,4.94,12.85,3.95
26033ZZZZZZ,26,033,ZZZZZZ,4.8,7.2,0.35,0.4,0.12
26035035001,26,035,035001,48,254,2,6,0
26035035002,26,035,035002,404.79,511.67,9.65,51.29,2.51
26035035003,26,035,035003,118,244,5,9,4
26035035004,26,035,035004,216,354,4,18,2
26035035005,26,035,035005,120,347,5,12,1
26035035006,26,035,035006,286,569,7,15,2
26035035007,26,035,035007,396.91,943.36,13.04,61.66,7.35
26035035008,26,035,035008,155,361,4,9,2
26035035009,26,035,035009,256,528,7,22,4
26035035010,26,035,035010,269,465,7,35,10
26035035011,26,035,035011,136.43,406.49,1.08,12.92,7.61
26035035012,26,035,035012,277,601,9,23,4
26035035013,26,035,035013,294,561,7,25,9
26035035014,26,035,035014,297.68,491.85,7.89,25.63,3.94
26035035015,26,035,035015,49,129,0,4,0
26035035016,26,035,035016,134,429,7,21,4
26035035017,26,035,035017,80,145,0,8,2
26035035018,26,035,035018,545,906,16,54,9
26035035019,26,035,035019,67,136,6,10,5
26037000002,26,037,000002,6.15,9.29,0.15,0.74,0.08
26037004042,26,037,004042,155.81,190.51,2.38,20.75,3.4
26037037001,26,037,037001,389,532,7,53,8
26037037002,26,037,037002,718.53,489.59,15.02,60.06,9.01
26037037003,26,037,037003,441.48,479.09,9.9,51.47,3.96
26037037004,26,037,037004,956.52,668.91,18.1,71.53,11.04
26037037005,26,037,037005,555.99,317.75,13.07,32.29,10.43
26037037006,26,037,037006,192,431,3,23,4
26037037007,26,037,037007,538.63,893.32,14.22,68.37,10.17
26037037008,26,037,037008,192,982,11,50,9
26037037009,26,037,037009,536,477,15,47,4
26037037010,26,037,037010,797.02,796.64,15.11,83.7,5.11
26037037011,26,037,037011,727.06,709.57,5.52,81.91,5.52
26037037012,26,037,037012,464.92,470.79,11.37,50.39,6.36
26037037013,26,037,037013,655,703,12,56,10
26037037014,26,037,037014,400.76,440.14,10.06,35.2,4.03
26037037015,26,037,037015,302.19,369.49,4.62,40.25,6.6
26037037016,26,037,037016,451.7,393.51,9.34,37.74,6.92
26037037017,26,037,037017,597.02,507.7,18.62,51.95,12.66
