GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOTH,G16USSDWIE,G16USSRMOR,G16USSLGAR,G16USSOTH
20067000020,20,067,000020,73,203.3,13.3,7.3,0.1,55.6,218,17.5,0
2006700003A,20,067,00003A,122.3,527.7,25,5.6,5.6,80.6,559.1,33.4,0
2006700003B,20,067,00003B,0.3,2.1,0.1,0,0,0.2,2.1,0.2,0
20067000040,20,067,000040,180.4,623.6,45.6,14.8,4.2,134.6,670,41.5,0
20067120020,20,067,120020,0,0,0,0,0,0,0,0,0
20067120030,20,067,120030,65,447.3,17,5.3,0.1,45,447.8,38.4,0
20069000020,20,069,000020,11,111,8,4,0,6,122,9,0
20069000030,20,069,000030,21,105,9,7,0,24,107,6,0
20069000040,20,069,000040,5,41,0,1,0,5,41,2,0
20069000050,20,069,000050,26,174,5,3,0,22,174,10,0
20069000060,20,069,000060,3,100,3,0,0,8,92,5,0
20069000070,20,069,000070,44,294,15,4,0,40,306,9,0
20069500010,20,069,500010,37.1,223.3,8,2,0,29,233.4,7,0
20069500020,20,069,500020,115.9,649.6,27,9,0,88,680.6,34,0
20071000010,20,071,000010,63,317,15,6,0,34,355,11,0
20071000020,20,071,000020,16,182,7,1,0,12,176,11,0
20071000030,20,071,000030,4,35,3,1,0,2,39,1,0
20073000010,20,073,000010,19,95,1,1,0,16,93,4,0
20073000020,20,073,000020,59.9,180.6,8.4,1.8,0.1,49.5,184.5,13.7,0
20073000030,20,073,000030,61.8,262.7,23.5,7.8,1,53.9,275.5,26.5,0
20073000040,20,073,000040,52.1,176.9,8.8,6.9,2,37.3,187.7,15.7,0
20073000050,20,073,000050,55.2,202.8,15.2,9.5,1.9,54.3,210.4,17.1,0
20073000060,20,073,000060,19.8,80.1,3,1,0,21.8,78.1,4,0
20073000070,20,073,000070,27,180.6,11.1,2,1,30,171.7,11.1,0
20073000080,20,073,000080,8.5,37.6,1.1,1,0,14.6,27,4.4,0
20073000090,20,073,000090,77,320,23,16,8,73,337,29,0
20073000100,20,073,000100,26,67,5,0,0,24,63,8,0
20073000110,20,073,000110,1,29,2,2,0,7,25,2,0
20073000120,20,073,000120,4.5,44.4,0.9,0,0,5.4,39,3.6,0
20073000130,20,073,000130,0.9,11.4,0.9,0.9,0,0,14.3,0.9,0
20073000140,20,073,000140,29,136,6,3,0,26,131,15,0
20073000150,20,073,000150,7,68,4,0,0,5,69,4,0
20073000170,20,073,000170,8,42,3,0,0,4,47,3,0
20073000180,20,073,000180,25.2,182.9,4,5,0,35.2,167.9,14.1,0
20073200010,20,073,200010,3,43,1,1,0,3,43,2,0
20073200020,20,073,200020,0,0,0,0,0,0,0,0,0
20073900010,20,073,900010,0,0,0,0,0,0,0,0,0
20073900020,20,073,900020,0,0,0,0,0,0,0,0,0
20075000010,20,075,000010,0,16,1,0,0,0,12,2,0
20075000020,20,075,000020,9,34,3,0,0,6,35,5,0
20075000030,20,075,000030,2,31.1,2,2,0,1,34.1,2,0
20075000040,20,075,000040,4,37,1,0,1,3,39,3,0
20075000050,20,075,000050,1,17,0,1,0,2,15,0,0
20075000060,20,075,000060,2,25,1,0,0,2,26,0,0
20075000070,20,075,000070,0,10,0,0,0,0,9,1,0
20075000080,20,075,000080,24.4,122.6,4.2,5.9,0,16.8,129.3,10.1,0
20075000090,20,075,000090,15,108.1,3.1,0,1.1,9,112.1,4.2,0
20075000100,20,075,000100,29.6,125.1,1.8,4.1,1,22.1,128.4,8.9,0
20075180010,20,075,180010,7.9,39.5,0.9,0,0.9,7.9,39.5,1.8,0
20075180020,20,075,180020,26.2,139.8,13,1,1,17.1,149.8,9.1,0
20077000010,20,077,000010,75,361,25,13,1,66,376,24,0
20077000020,20,077,000020,40.1,180.5,12,3,2,37.1,182.5,10,0
